Année;RNE;Nom établissement;Localité;Département;Label;Position
2017;0110686L;Collège Joseph Anglade;Lézignan-Corbières;11;2;43.196809464, 2.76527043622
2017;0110870L;Collège Antoine Pons;Chalabre;11;1;42.9851089045, 2.00497993951
2017;0111051H;Collège Rosa Parks;Lézignan-Corbières;11;2;43.184518864, 2.7595799942
2017;0300031W;Collège George Ville;Pont-Saint-Esprit;30;2;44.2562769196, 4.64588054318
2017;0301010K;Collège Jules Vallès;Nîmes;30;3;43.8588460926, 4.39110910066
2017;0301284H;Collège Jean Rostand;Nîmes;30;3;43.8453349382, 4.3436104753
2017;0340021N;Collège Jules Ferry;Cazouls-lès-Béziers;34;1;43.3898154424, 3.1016801846
2017;0340053Y;Collège Croix d'Argent;Montpellier;34;3;43.5901236713, 3.86672053586
2017;0340996Y;Collège les Escholiers de la Mosson;Montpellier;34;2;43.6337390636, 3.82164956652
2017;0341363X;Collège de la Voie Domitienne;Le Crès;34;1;43.6479920098, 3.93101951031
2017;0341368C;Collège de l'Étang de l'Or;Mauguio;34;3;43.6126507357, 4.00806047562
2017;0341424N;Collège Louise Michel;Ganges;34;2;43.9366236246, 3.7052504937
2017;0341577E;Collège Le Bérange;Baillargues;34;1;43.6670767331, 4.02226955004
2017;0341825Z;Collège Ambrussum;Lunel;34;2;43.6876054742, 4.13410022864
2017;0341870Y;Collège Marie Curie;Pignan;34;2;43.5795881698, 3.76382057356
2017;0342052W;Collège Simone de Beauvoir;Frontignan;34;1;43.4295170364, 3.73652058744
2017;0342266D;Collège Françoise Combes;Montpellier;34;2;43.6205154588, 3.8785601443
2017;0480004U;Collège Marthe Dupeyron;Langogne;48;1;44.7235510008, 3.85283017106
2017;0480014E;Collège UPP Pierre delmas;Sainte-Enimie;48;1;44.3669528713, 3.41120962813
2017;0660028X;Collège Jean Mermoz;Saint-Laurent-de-la-Salanque;66;2;42.7715648368, 2.98475020405
2017;0660029Y;Collège Joseph Calvet;Saint-Paul-de-Fenouillet;66;1;42.8087998589, 2.50565044347
2017;0660030Z;Collège Pierre Moréto;Thuir;66;2;42.6336129412, 2.7594402717
2018;0110003U;Collège de l'Alaric;Capendu;11;1;43.1859084897, 2.56341995244
2018;0110037F;Collège Alain;Carcassonne;11;1;43.2109519063, 2.33162942174
2018;0110674Y;Collège Gaston Bonheur;Trèbes;11;1;43.2096146282, 2.45349998889
2018;0110725D;Collège la Nadière;Port-la-Nouvelle;11;3;43.0152938287, 3.0473402655
2018;0110870L;Collège Antoine Pons;Chalabre;11;2;42.9851089045, 2.00497993951
