année;académie;code région;libellé région;série;inscrits;inscrits filles;présents;présents filles;admis;admis filles;admis sans mention;admis mention assez bien;admis mention bien;admis mention très bien;genre;âge;présence;admissibilité;admissibilité détails;Résultats;Effectifs
2011;MONTPELLIER;76;Occitanie;Serie college;21265;10994.0;21057.0;10900.0;19223.0;10088.0;7105.0;6113.0;4197.0;1808.0;Garçons;15 ans ou moins;Non présents;Non présents;f. Non présents;non_presents_garcons;114
2011;MONTPELLIER;76;Occitanie;Serie college;21265;10994.0;21057.0;10900.0;19223.0;10088.0;7105.0;6113.0;4197.0;1808.0;Garçons;15 ans ou moins;Présents;Admis;b. Admis mention bien;admis_mention_bien_garcons;1803
2011;MONTPELLIER;76;Occitanie;Serie professionnelle;514;221.0;483.0;211.0;429.0;193.0;248.0;138.0;41.0;2.0;Filles;15 ans ou moins;Non présents;Non présents;f. Non présents;non_presents_filles;10
2011;MONTPELLIER;76;Occitanie;Serie professionnelle;514;221.0;483.0;211.0;429.0;193.0;248.0;138.0;41.0;2.0;Garçons;15 ans ou moins;Non présents;Non présents;f. Non présents;non_presents_garcons;21
2011;MONTPELLIER;76;Occitanie;Serie professionnelle;514;221.0;483.0;211.0;429.0;193.0;248.0;138.0;41.0;2.0;Filles;15 ans ou moins;Présents;Non admis;e. Non admis;non_admis_filles;18
2011;MONTPELLIER;76;Occitanie;Serie professionnelle;514;221.0;483.0;211.0;429.0;193.0;248.0;138.0;41.0;2.0;Garçons;15 ans ou moins;Présents;Admis;c. Admis mention assez bien;admis_mention_assez_bien_garcons;68
2011;MONTPELLIER;76;Occitanie;Serie professionnelle;514;221.0;483.0;211.0;429.0;193.0;248.0;138.0;41.0;2.0;Garçons;15 ans ou moins;Présents;Admis;a. Admis mention très bien;admis_mention_tres_bien_garcons;2
2011;MONTPELLIER;76;Occitanie;Serie technologique;466;196.0;452.0;193.0;402.0;177.0;222.0;139.0;41.0;0.0;Filles;15 ans ou moins;Présents;Admis;d. Admis sans mention;admis sans mention filles;82
2011;MONTPELLIER;76;Occitanie;Serie technologique;466;196.0;452.0;193.0;402.0;177.0;222.0;139.0;41.0;0.0;Garçons;15 ans ou moins;Non présents;Non présents;f. Non présents;non_presents_garcons;11
2011;MONTPELLIER;76;Occitanie;Serie technologique;466;196.0;452.0;193.0;402.0;177.0;222.0;139.0;41.0;0.0;Garçons;15 ans ou moins;Présents;Admis;a. Admis mention très bien;admis_mention_tres_bien_garcons;0
