Code_UAI;acces_web
0810016C;Moyen
0810026N;Bon
0810041E;Moyen
0810124V;Bon
0810125W;Bon
0811144D;Bon
0820883P;Bon
0090003E;Bon
0090006H;Moyen
0090019X;Bon
0090025D;Moyen
0090055L;Bon
0110003U;Bon
0110010B;Bon
0110067N;Moyen
0110665N;Moyen
0110675Z;Moyen
0110870L;Moyen
0120002M;Moyen
0120031U;Bon
0121176N;Moyen
0300023M;Bon
0300036B;Bon
0300946R;Moyen
0301010K;Moyen
0301214G;Bon
0301232B;Moyen
0310015Y;Moyen
0310022F;Moyen
0310024H;Bon
0310039Z;Bon
0310046G;Bon
0310052N;Bon
0310084Y;Bon
0311235Z;Bon
0311265G;Bon
0311266H;Bon
0311327Z;Moyen
0311333F;Bon
0311335H;Bon
0311584D;Bon
0311586F;Bon
0311631E;Bon
0311686P;Moyen
0311687R;Bon
0311689T;Bon
0311851U;Bon
0312140H;Bon
0312610U;Bon
0312729Y;Bon
0312759F;Bon
0312915A;Bon
0320015T;Bon
0320019X;Bon
0320021Z;Moyen
0320023B;Moyen
0320028G;Moyen
0320035P;Bon
0320036R;Bon
0320074G;Moyen
0320562M;Moyen
0320608M;Moyen
0340008Z;Moyen
0340009A;Bon
0340011C;Bon
0340053Y;Moyen
0340837A;Moyen
0340973Y;Moyen
0340998A;Moyen
0341030K;Moyen
0341276C;Moyen
0341364Y;Moyen
0341388Z;Moyen
0341764H;Bon
0341794R;Bon
0341870Y;Moyen
0341921D;Moyen
0342036D;Bon
0342050U;Moyen
0342225J;Bon
0460013P;Moyen
0460027E;Moyen
0460030H;Moyen
0460565P;Moyen
0460573Y;Moyen
0480004U;Bon
0480005V;Moyen
0650025Z;Bon
0650031F;Bon
0650034J;Bon
0650050B;Bon
0650089U;Moyen
0660001T;Moyen
0660019M;Moyen
0660038H;Moyen
0090007J;Moyen
0090481Z;Moyen
0090546V;Bon
0110037F;Moyen
0110672W;Bon
0110721Z;Moyen
0111048E;Bon
0120020G;Bon
0120024L;Bon
0120037A;Bon
0120878P;Bon
0121295T;Moyen
0300037C;Bon
0300039E;Moyen
0301210C;Moyen
0301721H;Moyen
0310007P;Moyen
0310012V;Bon
0310037X;Bon
0310041B;Bon
0311094W;Bon
0311111P;Moyen
0311232W;Bon
0311338L;Bon
0311582B;Bon
0311690U;Moyen
0312307P;Moyen
0312696M;Bon
0312822Z;Bon
0320008K;Moyen
0320009L;Moyen
0320014S;Moyen
0320033M;Moyen
0340039H;Bon
0340996Y;Bon
0341363X;Moyen
0341367B;Bon
0460024B;Moyen
0460026D;Bon
0460028F;Bon
0460592U;Bon
0480003T;Moyen
0480016G;Moyen
0480688M;Moyen
0650003A;Bon
0650014M;Bon
0650026A;Bon
0650029D;Moyen
0650038N;Bon
0660011D;Bon
0660037G;Moyen
0660648W;Moyen
0660866H;Moyen
0810030T;Bon
0810993P;Bon
0811197L;Bon
0811340S;Moyen
0820007M;Moyen
0820021C;Bon
0820032P;Bon
0820704V;Bon
0090010M;Moyen
0090012P;Bon
0090015T;Bon
0090573Z;Moyen
0110027V;Bon
0110859Z;Moyen
0111051H;Moyen
0120006S;Bon
0120019F;Bon
0120021H;Moyen
0120025M;Bon
0120028R;Bon
0120029S;Moyen
0120101V;Bon
0121178R;Bon
0300021K;Bon
0300042H;Bon
0300046M;Bon
0301013N;Moyen
0301096D;Moyen
