sietabcentreressource;siprojetnumecole;siprojetabintegreent;sivisioconferenc;charte_num;acces_web;terminaux_qualité;services_num;acces_ressources;maintenance
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Bien;Assez bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;non;Bien;Bon;Mauvais;Bien;Assez bien;Bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Trés bien;Très bien;Assez bien
oui;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;oui;Mauvais;Bon;Bien;Trés bien;Mauvais;Trés bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Bien;Trés bien
non;oui;oui;oui;Mauvais;Moyen;Mauvais;Trés bien;Mauvais;Assez bien
non;oui;oui;oui;Mauvais;Moyen;Mauvais;Trés bien;Mauvais;Assez bien
oui;oui;oui;non;Moyen;Bon;Moyen;Bien;Assez bien;Trés bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Très bien;Bien
oui;oui;oui;non;Bien;Bon;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Assez bien;Moyen
non;oui;non;non;Très bien;Bon;Mauvais;Bien;Mauvais;Trés bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Mauvais;Bien
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Très bien;Trés bien
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Bien;Moyen
oui;oui;oui;non;Moyen;Bon;Mauvais;Trés bien;Mauvais;Assez bien
non;oui;oui;oui;Moyen;Moyen;Mauvais;Bien;Bien;Moyen
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Mauvais;Assez bien
oui;oui;oui;non;Moyen;Moyen;Mauvais;Trés bien;Très bien;Moyen
non;oui;non;oui;Moyen;Moyen;Mauvais;Bien;Mauvais;Trés bien
non;oui;oui;non;Mauvais;Moyen;Mauvais;Trés bien;Assez bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Moyen
non;oui;oui;oui;Moyen;Moyen;Mauvais;Trés bien;Très bien;Moyen
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;oui;Mauvais;Bon;Moyen;Bien;Très bien;Assez bien
oui;oui;oui;oui;Mauvais;Moyen;Mauvais;Trés bien;Mauvais;Moyen
oui;oui;oui;non;Moyen;Moyen;Bien;Trés bien;Assez bien;Assez bien
non;oui;oui;oui;Bien;Bon;Mauvais;Trés bien;Mauvais;Moyen
oui;oui;oui;oui;Bien;Bon;Moyen;Trés bien;Très bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Assez bien;Trés bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Bien;Assez bien
oui;oui;oui;oui;Bien;Bon;Mauvais;Trés bien;Très bien;Moyen
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;oui;Moyen;Moyen;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Trés bien;Très bien;Assez bien
non;oui;oui;oui;Mauvais;Bon;Moyen;Bien;Assez bien;Assez bien
oui;oui;oui;non;Mauvais;Bon;Mauvais;Trés bien;Mauvais;Assez bien
oui;oui;oui;non;Moyen;Moyen;Mauvais;Trés bien;Bien;Trés bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Bien;Bon;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;oui;Moyen;Bon;Moyen;Bien;Mauvais;Assez bien
oui;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;oui;Moyen;Bon;Moyen;Trés bien;Mauvais;Bien
oui;oui;oui;non;Moyen;Bon;Mauvais;Trés bien;Très bien;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Mauvais;Assez bien
non;oui;non;non;Très bien;Bon;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;oui;Moyen;Bon;Moyen;Bien;Mauvais;Assez bien
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Assez bien;Assez bien
oui;oui;oui;oui;Très bien;Bon;Mauvais;Trés bien;Très bien;Moyen
oui;oui;oui;non;Moyen;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;oui;Très bien;Moyen;Mauvais;Bien;Bien;Assez bien
oui;oui;oui;non;Bien;Bon;Mauvais;Trés bien;Mauvais;Trés bien
oui;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Mauvais;Trés bien
non;oui;oui;oui;Bien;Bon;Moyen;Trés bien;Mauvais;Moyen
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Assez bien;Moyen
oui;oui;oui;oui;Mauvais;Moyen;Mauvais;Bien;Très bien;Moyen
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;oui;Moyen;Bon;Moyen;Trés bien;Assez bien;Assez bien
non;oui;oui;non;Bien;Bon;Moyen;Bien;Très bien;Moyen
non;oui;oui;non;Mauvais;Bon;Moyen;Bien;Mauvais;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Trés bien;Mauvais;Moyen
oui;oui;oui;non;Moyen;Bon;Mauvais;Bien;Mauvais;Assez bien
oui;oui;oui;oui;Moyen;Moyen;Mauvais;Trés bien;Très bien;Assez bien
non;oui;oui;oui;Moyen;Bon;Bien;Bien;Assez bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Moyen
non;oui;oui;non;Très bien;Moyen;Moyen;Bien;Très bien;Moyen
non;oui;oui;non;Bien;Moyen;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Assez bien;Moyen
oui;oui;oui;non;Bien;Bon;Moyen;Bien;Assez bien;Assez bien
non;oui;oui;oui;Bien;Bon;Moyen;Trés bien;Assez bien;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Bien
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Assez bien;Assez bien
oui;oui;oui;non;Mauvais;Bon;Moyen;Bien;Mauvais;Assez bien
non;oui;oui;non;Bien;Moyen;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;oui;Moyen;Moyen;Mauvais;Trés bien;Assez bien;Bien
non;oui;oui;non;Bien;Bon;Moyen;Trés bien;Bien;Moyen
non;oui;oui;non;Mauvais;Moyen;Mauvais;Bien;Bien;Trés bien
non;oui;oui;oui;Moyen;Bon;Moyen;Trés bien;Mauvais;Moyen
non;non;non;non;Moyen;Moyen;Mauvais;Bien;Bien;Assez bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Très bien;Trés bien
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Assez bien;Trés bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Trés bien;Mauvais;Moyen
non;oui;oui;oui;Bien;Bon;Mauvais;Bien;Très bien;Assez bien
oui;oui;oui;non;Bien;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Trés bien;Très bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Très bien;Trés bien
oui;oui;oui;oui;Bien;Bon;Mauvais;Bien;Mauvais;Assez bien
oui;oui;oui;non;Moyen;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Trés bien
non;oui;oui;non;Très bien;Bon;Moyen;Trés bien;Mauvais;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Mauvais;Moyen
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Assez bien;Moyen
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Mauvais;Assez bien
non;oui;oui;oui;Très bien;Bon;Mauvais;Bien;Mauvais;Assez bien
oui;oui;oui;oui;Très bien;Bon;Moyen;Trés bien;Assez bien;Moyen
oui;oui;oui;oui;Mauvais;Bon;Moyen;Trés bien;Mauvais;Assez bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Très bien;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Assez bien;Moyen
non;oui;oui;oui;Très bien;Moyen;Mauvais;Bien;Assez bien;Moyen
non;oui;non;non;Bien;Moyen;Mauvais;Bien;Bien;Assez bien
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Assez bien;Assez bien
non;oui;oui;non;Bien;Moyen;Mauvais;Bien;Bien;Moyen
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Assez bien;Moyen
non;oui;oui;non;Très bien;Bon;Mauvais;Bien;Bien;Trés bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Très bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Très bien;Assez bien
oui;oui;oui;non;Moyen;Bon;Moyen;Bien;Assez bien;Assez bien
non;oui;oui;non;Moyen;Bon;Mauvais;Bien;Assez bien;Moyen
non;oui;oui;oui;Moyen;Bon;Mauvais;Bien;Assez bien;Moyen
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Très bien;Bien
oui;oui;oui;non;Très bien;Bon;Moyen;Bien;Très bien;Trés bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Mauvais;Trés bien
non;oui;oui;non;Mauvais;Bon;Mauvais;Bien;Bien;Assez bien
non;oui;oui;non;Très bien;Moyen;Mauvais;Bien;Très bien;Moyen
non;oui;oui;non;Très bien;Moyen;Mauvais;Trés bien;Très bien;Moyen
oui;oui;oui;oui;Bien;Bon;Moyen;Trés bien;Très bien;Moyen
non;oui;oui;non;Bien;Moyen;Mauvais;Bien;Très bien;Moyen
non;oui;oui;non;Moyen;Moyen;Mauvais;Bien;Bien;Moyen
