Code_UAI;services_num
0810016C;Bien
0810026N;Bien
0810041E;Bien
0810124V;Bien
0810125W;Bien
0811144D;Bien
0820883P;Bien
0090003E;Trés bien
0090006H;Bien
0090019X;Bien
0090025D;Bien
0090055L;Bien
0110003U;Bien
0110010B;Bien
0110067N;Bien
0110665N;Trés bien
0110675Z;Trés bien
0110870L;Bien
0120002M;Bien
0120031U;Bien
0121176N;Bien
0300023M;Trés bien
0300036B;Bien
0300946R;Bien
0301010K;Trés bien
0301214G;Trés bien
0301232B;Trés bien
0310015Y;Bien
0310022F;Bien
0310024H;Trés bien
0310039Z;Bien
0310046G;Trés bien
0310052N;Bien
0310084Y;Bien
0311235Z;Bien
0311265G;Bien
0311266H;Bien
0311327Z;Bien
0311333F;Bien
0311335H;Bien
0311584D;Bien
0311586F;Bien
0311631E;Bien
0311686P;Bien
0311687R;Bien
0311689T;Bien
0311851U;Bien
0312140H;Bien
0312478A;Bien
0312610U;Bien
0312729Y;Bien
0312759F;Bien
0312915A;Bien
0320015T;Bien
0320019X;Trés bien
0320021Z;Bien
0320023B;Bien
0320028G;Bien
0320035P;Trés bien
0320036R;Bien
0320074G;Bien
0320562M;Bien
0320608M;Bien
0340008Z;Trés bien
0340009A;Bien
0340011C;Trés bien
0340053Y;Trés bien
0340837A;Bien
0340973Y;Bien
0340998A;Bien
0341030K;Trés bien
0341276C;Bien
0341364Y;Bien
0341388Z;Trés bien
0341764H;Bien
0341794R;Bien
0341870Y;Trés bien
0341921D;Trés bien
0342036D;Trés bien
0342050U;Bien
0342225J;Trés bien
0460013P;Bien
0460027E;Bien
0460030H;Bien
0460565P;Bien
0460573Y;Bien
0480004U;Trés bien
0480005V;Bien
0650025Z;Trés bien
0650031F;Bien
0650034J;Trés bien
0650050B;Bien
0650089U;Bien
0660001T;Trés bien
0660019M;Trés bien
0660038H;Bien
0090007J;Trés bien
0090481Z;Bien
0090546V;Bien
0110037F;Bien
0110672W;Bien
0110721Z;Bien
0111048E;Bien
0120020G;Bien
0120024L;Bien
0120037A;Bien
0120878P;Bien
0121295T;Bien
0300037C;Trés bien
0300039E;Trés bien
0301210C;Bien
0301721H;Bien
0310007P;Bien
0310012V;Bien
0310037X;Bien
0310041B;Bien
0310053P;Trés bien
0311094W;Bien
0311111P;Bien
0311232W;Trés bien
0311338L;Trés bien
0311582B;Bien
0311690U;Bien
0312307P;Bien
0312696M;Bien
0312822Z;Bien
0320008K;Trés bien
0320009L;Bien
0320014S;Bien
0320033M;Bien
0340039H;Trés bien
0340996Y;Trés bien
0341363X;Bien
0341367B;Bien
0460024B;Bien
0460026D;Bien
0460028F;Trés bien
0460592U;Bien
0480003T;Bien
0480009Z;Bien
0480016G;Bien
0480688M;Trés bien
0650003A;Bien
0650014M;Trés bien
0650026A;Bien
0650029D;Bien
0650038N;Bien
0660011D;Trés bien
0660037G;Trés bien
0660648W;Bien
0660866H;Bien
0810030T;Bien
0810993P;Bien
0811197L;Trés bien
0811340S;Bien
0820007M;Bien
0820021C;Bien
0820032P;Bien
0820704V;Trés bien
0090010M;Trés bien
0090012P;Bien
0090015T;Bien
0090573Z;Bien
0110027V;Trés bien
0110859Z;Bien
0111051H;Trés bien
0120006S;Bien
0120019F;Bien
0120021H;Bien
0120025M;Bien
0120028R;Bien
0120029S;Bien
0120101V;Bien
0121178R;Bien
0300021K;Bien
0300042H;Bien
0300046M;Bien
0301013N;Bien
0301096D;Trés bien
0301552Z;Bien
0301778V;Trés bien
0310001H;Bien
0310008R;Bien
0310017A;Bien
0310019C;Bien
0310025J;Bien
0310029N;Bien
0310038Y;Bien
0310040A;Trés bien
0310047H;Bien
0310051M;Bien
0310054R;Bien
0310083X;Bien
0310085Z;Bien
0310088C;Bien
0311231V;Bien
0311238C;Bien
0311330C;Bien
0311630D;Bien
0311632F;Bien
0311633G;Bien
0311688S;Bien
0311769E;Bien
0312071H;Bien
0312092F;Bien
0312611V;Bien
0312699R;Bien
0312754A;Bien
0320002D;Bien
0320006H;Bien
0320011N;Bien
0340040J;Trés bien
0340111L;Trés bien
0341321B;Trés bien
0341366A;Trés bien
0341893Y;Bien
0342326U;Trés bien
0460008J;Bien
0460022Z;Bien
