Code_UAI;terminaux_qualité;nb_terminaux
0090007J;Mauvais;182.0
0090009L;Mauvais;124.0
0120037A;Moyen;450.0
0300039E;Mauvais;110.0
0300059B;Mauvais;216.0
0300062E;Mauvais;166.0
0301656M;Mauvais;152.0
0301671D;Mauvais;151.0
0301778V;Moyen;618.0
0310001H;Mauvais;94.0
0310012V;Mauvais;141.0
0310021E;Mauvais;143.0
0310052N;Moyen;462.0
0310088C;Mauvais;200.0
0311093V;Mauvais;193.0
0311094W;Mauvais;233.0
0311334G;Mauvais;90.0
0311689T;Mauvais;160.0
0311720B;Mauvais;202.0
0311772H;Mauvais;129.0
0312423R;Mauvais;199.0
0312822Z;Moyen;714.0
0320067Z;Moyen;750.0
0320074G;Mauvais;52.0
0320608M;Mauvais;60.0
0340021N;Mauvais;116.0
0341893Y;Mauvais;102.0
0342225J;Moyen;378.0
0460007H;Moyen;574.0
0480007X;Mauvais;196.0
0480015F;Mauvais;35.0
0650015N;Mauvais;213.0
0650018S;Mauvais;102.0
0650029D;Mauvais;322.0
0650031F;Mauvais;140.0
0650050B;Mauvais;141.0
0660004W;Mauvais;401.0
0660029Y;Mauvais;83.0
0660051X;Mauvais;100.0
0660848N;Mauvais;160.0
0660925X;Moyen;420.0
0810012Y;Mauvais;461.0
0810043G;Mauvais;141.0
0810127Y;Mauvais;109.0
0810995S;Moyen;392.0
0811032G;Mauvais;154.0
0820014V;Mauvais;64.0
0820016X;Mauvais;225.0
0110686L;Mauvais;250.0
0111051H;Mauvais;185.0
0300031W;Mauvais;315.0
0300036B;Mauvais;250.0
0300041G;Mauvais;101.0
0301010K;Mauvais;120.0
0301014P;Mauvais;240.0
0301232B;Mauvais;200.0
0301552Z;Bien;1850.0
0301721H;Mauvais;153.0
0310035V;Mauvais;60.0
0310038Y;Moyen;800.0
0310056T;Mauvais;333.0
0311325X;Mauvais;195.0
0311338L;Mauvais;128.0
0311581A;Mauvais;69.0
0311718Z;Mauvais;204.0
0311769E;Mauvais;199.0
0312220V;Mauvais;170.0
0312610U;Mauvais;131.0
0312698P;Mauvais;168.0
0312744P;Moyen;483.0
0312915A;Mauvais;190.0
0320019X;Mauvais;49.0
0340039H;Mauvais;320.0
0340048T;Mauvais;110.0
0340053Y;Mauvais;133.0
0340059E;Mauvais;295.0
0340076Y;Bien;1830.0
0340088L;Moyen;848.0
0340998A;Mauvais;81.0
0341028H;Mauvais;204.0
0341388Z;Mauvais;267.0
0341656R;Mauvais;80.0
0341705U;Mauvais;134.0
0342326U;Moyen;538.0
0460018V;Mauvais;98.0
0460026D;Mauvais;200.0
0480016G;Mauvais;24.0
0660012E;Moyen;350.0
0810003N;Mauvais;338.0
0810006S;Mauvais;300.0
0810030T;Mauvais;330.0
0810036Z;Mauvais;133.0
0820713E;Mauvais;136.0
0110012D;Moyen;1000.0
0300023M;Bien;2100.0
0300946R;Mauvais;80.0
0301096D;Mauvais;160.0
0310017A;Moyen;528.0
0310019C;Mauvais;70.0
0310029N;Mauvais;140.0
0310054R;Mauvais;400.0
0311573S;Mauvais;130.0
0311580Z;Mauvais;152.0
0312140H;Mauvais;125.0
0312337X;Mauvais;180.0
0312609T;Mauvais;130.0
0312686B;Moyen;667.0
0312696M;Mauvais;269.0
0312746S;Moyen;454.0
0312842W;Mauvais;190.0
0320023B;Mauvais;188.0
0320040V;Mauvais;272.0
0340031Z;Mauvais;197.0
0340065L;Mauvais;159.0
0341364Y;Mauvais;135.0
0341366A;Moyen;621.0
0341870Y;Mauvais;150.0
0341921D;Bien;2800.0
0342036D;Mauvais;217.0
0460529A;Mauvais;162.0
0460594W;Mauvais;106.0
0650014M;Mauvais;200.0
0650020U;Mauvais;149.0
0650022W;Mauvais;54.0
0650036L;Mauvais;70.0
0660028X;Moyen;485.0
0660037G;Moyen;604.0
0660038H;Mauvais;250.0
0660078B;Mauvais;70.0
0660924W;Moyen;454.0
0810016C;Mauvais;300.0
0810961E;Mauvais;66.0
0820020B;Mauvais;370.0
0820021C;Moyen;800.0
0090019X;Mauvais;210.0
0110025T;Moyen;378.0
0110667R;Mauvais;90.0
0110675Z;Mauvais;119.0
0300016E;Mauvais;84.0
0300020J;Mauvais;70.0
0300026R;Moyen;894.0
0300032X;Mauvais;130.0
0300037C;Mauvais;170.0
0300043J;Mauvais;186.0
0301013N;Mauvais;112.0
0301094B;Mauvais;110.0
0301325C;Mauvais;141.0
0310023G;Mauvais;141.0
0310028M;Mauvais;375.0
0310031R;Mauvais;92.0
0310037X;Mauvais;123.0
0311111P;Mauvais;170.0
0311232W;Moyen;470.0
0311235Z;Mauvais;151.0
0311333F;Mauvais;150.0
0311634H;Moyen;703.0
0311686P;Mauvais;114.0
0311690U;Mauvais;167.0
0311851U;Mauvais;166.0
0312267W;Mauvais;310.0
0312338Y;Mauvais;160.0
0320002D;Moyen;750.0
0320006H;Mauvais;107.0
0320563N;Mauvais;176.0
0340110K;Mauvais;144.0
0341764H;Mauvais;152.0
0342077Y;Mauvais;102.0
0460008J;Mauvais;165.0
0480017H;Mauvais;57.0
0650037M;Mauvais;63.0
0660431K;Mauvais;144.0
0660600U;Mauvais;105.0
0660648W;Mauvais;208.0
0810028R;Mauvais;130.0
0810038B;Mauvais;91.0
0810993P;Mauvais;240.0
0811331G;Mauvais;146.0
0820004J;Moyen;612.0
0820032P;Moyen;521.0
0820684Y;Mauvais;186.0
0820896D;Mauvais;86.0
0090002D;Moyen;491.0
0090018W;Mauvais;394.0
0090055L;Mauvais;177.0
0110023R;Moyen;1050.0
0110724C;Mauvais;164.0
0120025M;Mauvais;360.0
0120031U;Mauvais;380.0
0300002P;Moyen;1000.0
0301654K;Mauvais;360.0
0301722J;Mauvais;250.0
0301723K;Mauvais;49.0
0310040A;Moyen;1000.0
0310041B;Moyen;460.0
0310051M;Mauvais;223.0
0311687R;Mauvais;161.0
0311850T;Mauvais;192.0
0312139G;Mauvais;145.0
0312611V;Mauvais;152.0
0320001C;Mauvais;73.0
0320013R;Mauvais;80.0
0320033M;Mauvais;298.0
0320036R;Mauvais;225.0
0340972X;Mauvais;80.0
0340974Z;Mauvais;143.0
0341030K;Mauvais;134.0
0341321B;Mauvais;141.0
0341794R;Moyen;900.0
0341826A;Mauvais;129.0
0342066L;Mauvais;362.0
0342132H;Mauvais;160.0
0460010L;Moyen;741.0
0460027E;Mauvais;64.0
0460030H;Mauvais;89.0
0650017R;Mauvais;44.0
0650025Z;Mauvais;324.0
0650740B;Mauvais;145.0
0660008A;Mauvais;195.0
0660010C;Moyen;505.0
0660011D;Moyen;684.0
0660019M;Mauvais;160.0
0660030Z;Moyen;490.0
0660601V;Moyen;750.0
0660866H;Mauvais;285.0
0810008U;Mauvais;80.0
0810037A;Mauvais;127.0
0810051R;Mauvais;204.0
0810125W;Mauvais;249.0
0810787R;Mauvais;101.0
0811144D;Mauvais;160.0
0811197L;Moyen;780.0
0820011S;Mauvais;97.0
0820067C;Mauvais;85.0
