Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0340474F;Ecole élémentaire Jeanne d'Arc;Ecole;Public;9 boulevard des Arceaux;;34000 MONTPELLIER;34000;34172;Montpellier;034;11;76;0;1;;;;0771540204;;;ce.0340474F@ac-montpellier.fr;1;0;0;;;;;;;;;;;;;;;21340172200110;125;;43.61133107941463,3.8658693814953087;SANS OBJET;Hérault;Montpellier;Occitanie;769920.3;6279525.5;EPSG:2154;Circonscription d inspection du 1er degré de Montpellier Centre;43.61133107941463;3.8658693814953087;Numéro de rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0341030K;;;11120;MONTPELLIER NORD
0340642N;Ecole primaire;Ecole;Public;Voie Verte;;34220 RIOLS;34220;34229;Riols;034;11;76;1;1;;;;0467970425;;;ce.0340642N@ac-montpellier.fr;0;0;0;;;;;;;;;;;;;;;21340229000067;55;;43.46746442509905,2.7936769881929515;SANS OBJET;Hérault;Montpellier;Occitanie;683297.0;6263173.9;EPSG:2154;Circonscription d'inspection du 1er degré de Bédarieux;43.46746442509905;2.7936769881929515;Rue;1965-07-10;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0340070S;;;11071;BEZIERS
0090080N;Ecole primaire;Ecole;Public;Rue des Ecoles;;09600 AIGUES VIVES;09600;09002;Aigues-Vives;009;16;76;1;1;;;;0561018602;;;ce.0090080N@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090002300024;44;;42.99621671945343,1.8750199839916581;SANS OBJET;Ariège;Toulouse;Occitanie;608183.2;6211417.1;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;42.99621671945343;1.8750199839916581;Numéro de rue;1968-12-04;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009044;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090573Z;;;16125;ARIEGE
0090095E;Ecole élémentaire;Ecole;Public;2 place des Fusillés de Marty;;09100 ARVIGNA;09100;09022;Arvigna;009;16;76;0;1;;;;0561686973;;;ce.0090095E@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090022100024;23;;43.06008919428838,1.7351304121656934;SANS OBJET;Ariège;Toulouse;Occitanie;596880.6;6218690.9;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;43.06008919428838;1.7351304121656934;Rue;1968-12-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009006;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090573Z;;;16125;ARIEGE
0090112Y;Ecole primaire;Ecole;Public;5 route de Cayra;;09500 LA BASTIDE DE BOUSIGNAC;09500;09039;La Bastide-de-Bousignac;009;16;76;1;1;;;;0561682619;;;ce.0090112Y@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090039500026;26;;43.05261927746746,1.8864800229031196;SANS OBJET;Ariège;Toulouse;Occitanie;609206.9;6217674.6;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;43.05261927746746;1.8864800229031196;Numéro de rue;1968-12-04;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090573Z;;;16125;ARIEGE
0090114A;Ecole primaire;Ecole;Public;23 allées Pré Commun;;09160 LA BASTIDE DU SALAT;09160;09041;La Bastide-du-Salat;009;16;76;1;1;;;;0561966034;;;ce.0090114A@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090041100021;14;;43.0572943969239,0.9895302421431741;SANS OBJET;Ariège;Toulouse;Occitanie;536097.8;6219640.9;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.0572943969239;0.9895302421431741;Numéro de rue;1968-12-17;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009038;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090574A;;;16125;ARIEGE
0090148M;Ecole maternelle;Ecole;Public;LE VILLAGE;;09100 BEZAC;09100;09056;Bézac;009;16;76;1;0;;;;0561601290;;;ce.0090148M@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090056900026;25;;43.14897747824223,1.5755697015560832;SANS OBJET;Ariège;Toulouse;Occitanie;584051.9;6228793.6;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.14897747824223;1.5755697015560832;Ville;1968-12-09;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009040;101;ECOLE MATERNELLE;99;0090056M;;;16125;ARIEGE
0090150P;Ecole élémentaire;Ecole;Public;12 rue de la Mairie;;09400 BOMPAS;09400;09058;Bompas;009;16;76;0;1;;;;0561057669;;;ce.0090150P@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090058500022;21;;42.86493348431911,1.6154201341083922;SANS OBJET;Ariège;Toulouse;Occitanie;586741.6;6197157.5;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;42.86493348431911;1.6154201341083922;Numéro de rue;1968-12-03;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009031;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090546V;;;16125;ARIEGE
0090172N;Ecole primaire;Ecole;Public;PRES COMMUN;;09800 CASTILLON EN COUSERANS;09800;09085;Castillon-en-Couserans;009;16;76;1;1;;;;0561967224;;;ce.0090172N@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21090085800031;66;;42.92101836544872,1.0329501563995158;SANS OBJET;Ariège;Toulouse;Occitanie;539259.4;6204403.5;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;42.92101836544872;1.0329501563995158;Ville;1968-12-16;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090574A;;;16125;ARIEGE
0090173P;Ecole élémentaire;Ecole;Public;Route départementale 117;;09160 CAUMONT;09160;09086;Caumont;009;16;76;0;1;;;;0561667134;;;ce.0090173P@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090086600026;20;;43.028939222761636,1.0862202355562678;SANS OBJET;Ariège;Toulouse;Occitanie;543902.4;6216293.2;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.028939222761636;1.0862202355562678;Numéro de rue;1968-12-17;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009029;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090574A;;;16125;ARIEGE
0090195N;Ecole primaire;Ecole;Public;Rue des Ecoles;;09120 DALOU;09120;09104;Dalou;009;16;76;1;1;;;;0561601475;;;ce.0090195N@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090104700030;75;;43.03351803873674,1.6403999395371633;SANS OBJET;Ariège;Toulouse;Occitanie;589107.5;6215865.3;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.03351803873674;1.6403999395371633;Numéro de rue;1968-12-11;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090056M;;;16125;ARIEGE
0090196P;Ecole primaire;Ecole;Public;Rue Roger Lacombe;;09350 DAUMAZAN SUR ARIZE;09350;09105;Daumazan-sur-Arize;009;16;76;1;1;;;;0561683269;;;ce.0090196P@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21090105400028;56;;43.14188311725707,1.3040698546914367;SANS OBJET;Ariège;Toulouse;Occitanie;561938.1;6228441.7;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.14188311725707;1.3040698546914367;Numéro de rue;1968-12-16;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009002;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090010M;;;16125;ARIEGE
0090209D;Ecole primaire;Ecole;Public;VILLAGE;;09200 EYCHEIL;09200;09119;Eycheil;009;16;76;1;1;;;;0561663880;;;ce.0090209D@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090119500029;89;;42.96915940318495,1.1640097379657741;SANS OBJET;Ariège;Toulouse;Occitanie;550091.6;6209497.3;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;42.96915940318495;1.1640097379657741;Numéro de rue;1968-12-17;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090574A;;;16125;ARIEGE
0090225W;Ecole primaire;Ecole;Public;LE VILLAGE;;09130 LE FOSSAT;09130;09124;Le Fossat;009;16;76;1;1;;;;0561689113;;;ce.0090225W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21090124500022;96;;43.173786903105395,1.4071500516151338;SANS OBJET;Ariège;Toulouse;Occitanie;570400.0;6231813.2;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.173786903105395;1.4071500516151338;Ville;1968-12-04;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090009L;;;16125;ARIEGE
0090259H;Ecole élémentaire Groupe 2 George Sand;Ecole;Public;Rue du 4 Septembre;;09300 LAVELANET;09300;09160;Lavelanet;009;16;76;1;1;;;;0561010784;;;ce.0090259H@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;REP;;21090160900177;146;;42.932350334168355,1.8505204591244553;SANS OBJET;Ariège;Toulouse;Occitanie;606080.4;6204345.0;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;42.932350334168355;1.8505204591244553;Numéro de rue;1968-12-03;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090490J;;;16125;ARIEGE
0090270V;Ecole maternelle;Ecole;Public;R le Biac;;09210 LEZAT SUR LEZE;09210;09167;Lézat-sur-Lèze;009;16;76;1;0;;;;0561690130;;;ce.0090270V@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21090167400049;46;;43.27680148373449,1.3460801029094642;SANS OBJET;Ariège;Toulouse;Occitanie;565671.7;6243365.1;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.27680148373449;1.3460801029094642;Rue;1968-12-04;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0090009L;;;16125;ARIEGE
0090272X;Ecole élémentaire;Ecole;Public;LE BIAC LE BIAC;;09210 LEZAT SUR LEZE;09210;09167;Lézat-sur-Lèze;009;16;76;1;1;;;;0561692261;;;ce.0090272X@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21090167400031;113;;43.27680148373449,1.3460801029094642;SANS OBJET;Ariège;Toulouse;Occitanie;565671.7;6243365.1;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.27680148373449;1.3460801029094642;Rue;1968-12-04;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090009L;;;16125;ARIEGE
0090276B;Ecole élémentaire;Ecole;Public;Village;;09120 LOUBENS;09120;09173;Loubens;009;16;76;0;1;;;;0561053285;;;ce.0090276B@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090173200029;35;;43.04487415878856,1.5446204045728615;SANS OBJET;Ariège;Toulouse;Occitanie;581319.6;6217267.0;EPSG:2154;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest;43.04487415878856;1.5446204045728615;Ville;1968-12-11;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;009003;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090010M;;;16125;ARIEGE
0090280F;Ecole élémentaire Amplaing;Ecole;Public;Place de l'Ecole;;09400 MERCUS GARRABET;09400;09188;Mercus-Garrabet;009;16;76;0;1;;;;0561059216;;;ce.0090280F@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21090188000059;22;;42.887175784180556,1.620979458819056;SANS OBJET;Ariège;Toulouse;Occitanie;587239.5;6199622.6;EPSG:2154;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares;42.887175784180556;1.620979458819056;Rue;1968-12-03;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090546V;;;16125;ARIEGE
0090302E;Ecole élémentaire Victor Hugo;Ecole;Public;1 boulevard des Comtes de Foix;;09270 MAZERES;09270;09185;Mazères;009;16;76;0;1;;;;0561680303;;;ce.0090302E@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21090185600034;266;;43.24935062383716,1.6787902238241301;SANS OBJET;Ariège;Toulouse;Occitanie;592639.9;6239804.8;EPSG:2154;Circonscription d'inspection du 1er degré de Pamiers-Basse Ariège;43.24935062383716;1.6787902238241301;Numéro de rue;1968-12-11;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0090012P;;;16125;ARIEGE
