Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;tri;Code Postal
2021;OCCITANIE;MONTPELLIER;AUDE;AIGUES-VIVES;0110069R;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;0;0;2;32;23;9;0;9;0;0;0;0;79-OCCITANIE-MONTPELLIER-AUDE-AIGUES-VIVES-0110069R;11800
2021;OCCITANIE;MONTPELLIER;AUDE;AJAC;0111042Y;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;0;0;1;14;0;14;0;0;0;5;9;0;79-OCCITANIE-MONTPELLIER-AUDE-AJAC-0111042Y;11300
2021;OCCITANIE;MONTPELLIER;AUDE;ALAIGNE;0110072U;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;0;0;1;16;0;16;0;0;4;6;3;3;79-OCCITANIE-MONTPELLIER-AUDE-ALAIGNE-0110072U;11240
2021;OCCITANIE;MONTPELLIER;AUDE;ALAIRAC;0110073V;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;0;0;5;106;45;61;0;16;6;11;17;11;79-OCCITANIE-MONTPELLIER-AUDE-ALAIRAC-0110073V;11290
2021;OCCITANIE;MONTPELLIER;AUDE;ALET-LES-BAINS;0110817D;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;0;0;2;25;9;16;0;4;1;4;4;3;79-OCCITANIE-MONTPELLIER-AUDE-ALET-LES-BAINS-0110817D;11580
2021;OCCITANIE;MONTPELLIER;AUDE;ALZONNE;0110077Z;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;0;0;8;177;56;121;0;28;26;24;22;21;79-OCCITANIE-MONTPELLIER-AUDE-ALZONNE-0110077Z;11170
2021;OCCITANIE;MONTPELLIER;AUDE;ANTUGNAC;0110079B;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;0;0;1;17;0;17;0;0;0;0;9;8;79-OCCITANIE-MONTPELLIER-AUDE-ANTUGNAC-0110079B;11190
2021;OCCITANIE;MONTPELLIER;AUDE;ARAGON;0110080C;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;0;0;2;36;9;27;0;4;6;6;6;5;79-OCCITANIE-MONTPELLIER-AUDE-ARAGON-0110080C;11600
2021;OCCITANIE;MONTPELLIER;AUDE;ARGELIERS;0110728G;ECOLE PRIMAIRE PUBLIQUE;;PUBLIC;0;0;8;192;60;132;0;30;28;26;25;23;79-OCCITANIE-MONTPELLIER-AUDE-ARGELIERS-0110728G;11120
2021;OCCITANIE;MONTPELLIER;AUDE;ARGENS-MINERVOIS;0110083F;ECOLE ELEMENTAIRE PUBLIQUE;;PUBLIC;0;0;1;21;0;21;0;0;0;0;0;21;79-OCCITANIE-MONTPELLIER-AUDE-ARGENS-MINERVOIS-0110083F;11200
2021;OCCITANIE;MONTPELLIER;AUDE;ARMISSAN;0110084G;ECOLE PRIMAIRE PUBLIQUE;RENE CASSIN;PUBLIC;0;0;5;118;23;95;0;18;17;20;21;19;79-OCCITANIE-MONTPELLIER-AUDE-ARMISSAN-0110084G;11110
2021;OCCITANIE;MONTPELLIER;AUDE;ARQUES;0110085H;ECOLE MATERNELLE PUBLIQUE;;PUBLIC;0;0;1;10;10;0;0;0;0;0;0;0;79-OCCITANIE-MONTPELLIER-AUDE-ARQUES-0110085H;11190
2021;OCCITANIE;MONTPELLIER;AUDE;ARZENS;0110861B;ECOLE PRIMAIRE PUBLIQUE;SIMONE VEIL;PUBLIC;0;0;5;94;29;65;0;20;12;6;16;11;79-OCCITANIE-MONTPELLIER-AUDE-ARZENS-0110861B;11290
