NIVEAU LABEL;COMMUNE;ECOLE;NBR CLASSES;UAI;position
1;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;6.0;0110161R;43.21077590559298,2.333279388550725
1;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE LA GRAVETTE;18.0;0110173D;43.21278724631535,2.367969605729935
1;CUXAC-D'AUDE;ECOLE ELEMENTAIRE PUBLIQUE YVAN PELISSIER;9.0;0110256U;43.24527847167019,3.000869956188783
1;LANGLADE;ECOLE PRIMAIRE PUBLIQUE LES GENETS;10.0;0300473B;43.80696677255406,4.256980524165761
1;POULX;ECOLE ELEMENTAIRE PUBLIQUE GEORGES BRASSENS;10.0;0300632Z;43.91105482977696,4.418800062462933
1;SAINT-COME-ET-MARUEJOLS;ECOLE PRIMAIRE PUBLIQUE;4.0;0300702A;43.827629454554625,4.203330546984098
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE LA GAZELLE;10.0;0301035M;43.853337094622404,4.3797498724852035
1;NIMES;ECOLE PRIMAIRE PUBLIQUE LA PLANETTE;5.0;0301036N;43.856619798984426,4.347540218453162
1;LES SALLES-DU-GARDON;ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN;6.0;0301082N;44.20572361091675,4.035930523053004
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE GUSTAVE COURBET;15.0;0301181W;43.83199374155666,4.3246995774547266
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE AUGUSTE FAUCHER;9.0;0301296W;43.84047047019739,4.313439888937639
1;BOUILLARGUES;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;12.0;0301407S;43.80042402534773,4.424050479220282
1;SOMMIERES;ECOLE PRIMAIRE PUBLIQUE LI PASSEROUN;10.0;0301766G;43.78510139988099,4.081309482573159
1;PRADES;ECOLE ELEMENTAIRE PUBLIQUE JEAN CLERC;7.0;0660197F;42.6177514566787,2.4208695601961168
2;FLEURY;ECOLE ELEMENTAIRE PUBLIQUE ANDRE MALRAUX;9.0;0110888F;43.22738879133897,3.1351360871743412
2;NIMES;ECOLE ELEMENTAIRE PUBLIQUE PROSPER MERIMEE;9.0;0300781L;43.847813468477916,4.363789754525441
2;ALES;ECOLE ELEMENTAIRE PUBLIQUE LOUIS PASTEUR;5.0;0301185A;44.12236296597991,4.076800536689767
2;BELLEGARDE;ECOLE PRIMAIRE PUBLIQUE HENRI SERMENT;13.0;0301804Y;43.751772184492935,4.49738017984919
2;MENDE;ECOLE ELEMENTAIRE PUBLIQUE LES TERRES BLEUES;6.0;0480595L;44.52296522118235,3.5122697848460107
3;CARCASSONNE;ECOLE PRIMAIRE PUBLIQUE YVONNE GISCLARD CAU MAQUENS;8.0;0110195C;43.18690022285532,2.349565156209256
3;LAURAGUEL;ECOLE PRIMAIRE PUBLIQUE JACQUES BERNIES;3.0;0110349V;43.100309418923665,2.1679303368392944
3;VILLENEUVE-MINERVOIS;ECOLE PRIMAIRE PUBLIQUE;4.0;0110763V;43.31472848869814,2.4635904032365334
3;SAINT-ANDRE-D'OLERARGUES;ECOLE PRIMAIRE PUBLIQUE;2.0;0300684F;44.16334940342226,4.484557625599633
3;SAINT-JEAN-DE-VALERISCLE;ECOLE PRIMAIRE PUBLIQUE;2.0;0300740S;44.23169534684859,4.144219942746607
3;NIMES;ECOLE ELEMENTAIRE PUBLIQUE JOSEPH LAKANAL;14.0;0301256C;43.82222026362693,4.3369511950620225
3;THEZIERS;ECOLE PRIMAIRE PUBLIQUE LA GADILLE;5.0;0301636R;43.90290287825119,4.620519756022152
3;BALARUC-LE-VIEUX;ECOLE ELEMENTAIRE PUBLIQUE;7.0;0340180L;43.46021445886345,3.6869893886294767
3;ANTRENAS;ECOLE ELEMENTAIRE PUBLIQUE;1.0;0480116R;44.58027203093805,3.2660901552131074
3;PEYRE EN AUBRAC;ECOLE PRIMAIRE PUBLIQUE AUMONT-AUBRAC;5.0;0480581W;44.72225826740851,3.291080157604157
3;DORRES;ECOLE ELEMENTAIRE PUBLIQUE;1.0;0660403E;42.48479285032954,1.9410594896038114
3;POLLESTRES;ECOLE ELEMENTAIRE PUBLIQUE PAU CASALS;12.0;0660793D;42.64119106758858,2.8685202687729
1;MONS;ECOLE PRIMAIRE PUBLIQUE LA ROUVIERETTE;8.0;0300544D;44.13447424289049,4.174810328182793
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE MARIE SOBOUL;8.0;0300576N;43.840974654768715,4.354350026366063
1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE ST CESAIRE;5.0;0301275Y;43.816003487458616,4.328139957801979
1;ALES;ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN;12.0;0301532C;44.14365894990031,4.08333412684619
1;ALES;ECOLE PRIMAIRE PUBLIQUE LES PROMELLES;6.0;0301660S;44.10621073239324,4.082309995202569
1;AIGUES-MORTES;ECOLE PRIMAIRE HENRI SEVERIN;12.0;0301762C;43.57222010909639,4.182920139603969
1;SAINT-FELIU-D'AVALL;ECOLE ELEMENTAIRE PUBLIQUE LOUIS CLERC;7.0;0660107H;42.682489745398065,2.7360799406827736
