uai;niveau_label;commune;ecole;nbr_classes;latitude;longitude;niveau;nom_ecole;Rentrée scolaire;Académie;Code du département;Département;Nom de l'établissment;Code INSEE de la commune;Nom de la commune;Secteur;IPS
0110161R;1;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL;6.0;43.21077590559298;2.333279388550725;elementaire;marcel pagnol;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE MARCEL PAGNOL;11069;CARCASSONNE;public;71.1
0110173D;1;CARCASSONNE;ECOLE ELEMENTAIRE PUBLIQUE LA GRAVETTE;18.0;43.21278724631535;2.367969605729935;elementaire;la gravette;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE LA GRAVETTE;11069;CARCASSONNE;public;71.7
0110256U;1;CUXAC-D'AUDE;ECOLE ELEMENTAIRE PUBLIQUE YVAN PELISSIER;9.0;43.24527847167019;3.000869956188783;elementaire;yvan pelissier;2021-2022;MONTPELLIER;011;AUDE;ECOLE ELEMENTAIRE YVAN PELISSIER;11116;CUXAC D AUDE;public;94.0
0300473B;1;LANGLADE;ECOLE PRIMAIRE PUBLIQUE LES GENETS;10.0;43.80696677255406;4.256980524165761;primaire;les genets;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE LES GENETS;30138;LANGLADE;public;114.7
0300632Z;1;POULX;ECOLE ELEMENTAIRE PUBLIQUE GEORGES BRASSENS;10.0;43.91105482977696;4.418800062462933;elementaire;georges brassens;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE GEORGES BRASSENS;30206;POULX;public;115.4
0300702A;1;SAINT-COME-ET-MARUEJOLS;ECOLE PRIMAIRE PUBLIQUE;4.0;43.827629454554625;4.203330546984098;primaire;non renseigné;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE;30245;SAINT COME ET MARUEJOLS;public;115.9
0301035M;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE LA GAZELLE;10.0;43.853337094622404;4.3797498724852035;elementaire;la gazelle;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE LA GAZELLE;30189;NIMES;public;113.0
0301036N;1;NIMES;ECOLE PRIMAIRE PUBLIQUE LA PLANETTE;5.0;43.856619798984426;4.347540218453162;primaire;la planette;2021-2022;MONTPELLIER;030;GARD;ECOLE PRIMAIRE LA PLANETTE;30189;NIMES;public;127.0
0301082N;1;LES SALLES-DU-GARDON;ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN;6.0;44.20572361091675;4.035930523053004;elementaire;paul langevin;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE PAUL LANGEVIN;30307;LES SALLES DU GARDON;public;75.6
0301181W;1;NIMES;ECOLE ELEMENTAIRE PUBLIQUE GUSTAVE COURBET;15.0;43.83199374155666;4.3246995774547266;elementaire;gustave courbet;2021-2022;MONTPELLIER;030;GARD;ECOLE ELEMENTAIRE GUSTAVE COURBET;30189;NIMES;public;66.4
