Code_UAI;Millesime;Code_nature;nature_uai;typ_etab;Academie;Departement;NbEleve;NbEnseignant;SiEtabCentreRessource;SiProjetNumEcole;SiEntDisponible;SiProjEtabIntegreENT;Maint_PersCollect;Maint_PrestaExt;Maint_PersonnelEducNatHsEtab;Maint_PersonnelEtab;Maint_AutreNeSaitPas;Maint_Personne;NbRessourceEdit;TpRess_ManuelNum;TpRess_AnimScienLogiSimu;TpRess_Bdd;TpRess_LogiOutils;TpRess_OuvRef;TpRess_ResEntrainement;TpRess_Autres;TpRess_aucune;ServInt_NoteElev;ServInt_AbsElev;ServInt_EdtElevCls;ServInt_CahierTxt;ServInt_DocRessPeda;ServInt_AgdActuEtab;ServInt_PlatApp;ServInt_Autres;ServInt_aucun;NbTerminaux;NbTablette;NbTablettePC;NbMicroMoins5;NbMicroPortable;NbPortAffEl;NbPortAffEns;NbEleveEqASH;NbPosteEqASH;NbTBI;propClassesAvecTBI;NbVideoProj;NbClassMobile;NbLecteurMpx;NbImpr3D;AccWeb_RTC;AccWeb_CableFibreOptique;AccWeb_ADSL;AccWeb_AutresHautDebit;AccWeb_NeSaitPas;AccWeb_Aucun;DebitWeb;SiWifi;SalleInternet;PostesInfoElvHorsCours;SiPareFeuEtab;SiOuifiltrageWeb;ControlePosteriori;SiCharteUsageWeb;Diffch_AnnexeeRI;Diffch_DossierRentreeEnseignants;Diffch_CRConseilAdmin;Diffch_DiffusionParents;Diffch_Autres;AccesParentCharte;ElvAuthentif;SiVisioConferenc;SiEntUtilise;TypeMatHandi_Tablette;TypeMatHandi_OrdiPort;TypeMatHandi_LogApp;TypeMatHandi_Autre;Code_region;Libelle_region
0810016C;2019;320;LP;P;TOULOUSE;TARN;311.0;38.0;non;oui;;oui;oui;non;non;oui;non;non;10a19;oui;oui;oui;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;300.0;0.0;;150.0;50.0;0.0;10.0;1.0;;4.0;Mois20pct;21.0;3.0;;0.0;non;oui;non;non;non;non;De2a10;Non;50OuPlus;5.0;oui;oui;oui;oui;oui;non;non;non;non;non;;non;;;;;;76;Occitanie
0810026N;2019;340;Collège;C;TOULOUSE;TARN;379.0;27.0;non;oui;;oui;oui;non;non;oui;non;non;;non;oui;oui;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;non;non;72.0;45.0;;40.0;27.0;0.0;0.0;2.0;;3.0;Mois20pct;16.0;3.0;;1.0;non;oui;non;non;non;non;10moins50;;50OuPlus;10.0;oui;oui;oui;oui;oui;non;non;oui;non;ouiEntiteExt;;non;;;;;;76;Occitanie
0810041E;2019;340;Collège;C;TOULOUSE;TARN;683.0;44.0;non;oui;;oui;non;non;non;oui;non;non;5a9;oui;non;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;212.0;80.0;;99.0;81.0;0.0;60.0;1.0;;6.0;Mois20pct;20.0;4.0;;1.0;non;oui;non;non;non;non;De2a10;OuiBorneMobile;50OuPlus;15.0;oui;oui;oui;oui;oui;non;non;oui;non;ouiPersonnelEtb;;non;;;;;;76;Occitanie
0810124V;2019;340;Collège;C;TOULOUSE;TARN;632.0;38.0;oui;oui;;oui;;;;;;;5a9;oui;oui;oui;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;145.0;;;30.0;15.0;0.0;12.0;3.0;;15.0;20pcta50pct;13.0;0.0;;;non;oui;oui;non;non;non;10moins50;;50OuPlus;15.0;oui;oui;oui;oui;oui;non;non;non;non;ouiPersonnelEtb;;non;;;;;;76;Occitanie
0810125W;2019;340;Collège;C;TOULOUSE;TARN;814.0;65.0;non;oui;;oui;oui;non;non;oui;non;non;1a4;oui;non;non;oui;non;oui;non;non;oui;oui;oui;oui;oui;oui;non;oui;non;262.0;7.0;;28.0;12.0;0.0;0.0;0.0;;1.0;Mois20pct;34.0;0.0;;0.0;non;oui;non;non;non;non;100OuPlus;OuiPerma;50OuPlus;19.0;oui;oui;oui;oui;oui;non;non;non;non;non;;non;oui;;;;;76;Occitanie
0811144D;2019;320;LP;P;TOULOUSE;TARN;254.0;32.0;non;oui;;oui;oui;non;non;oui;non;non;10a19;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;160.0;0.0;;26.0;6.0;0.0;1.0;1.0;;4.0;50pctOuPlus;18.0;0.0;;0.0;non;oui;non;non;non;non;10moins50;Non;50OuPlus;16.0;oui;oui;oui;oui;oui;non;non;non;non;ouiEntiteExt;;non;;;;;;76;Occitanie
0820883P;2019;306;Lycées Polyvalents;G;TOULOUSE;TARN-ET-GARONNE;905.0;81.0;non;oui;;oui;non;non;non;oui;non;non;;non;non;non;oui;non;non;non;non;oui;non;oui;oui;oui;non;non;non;non;580.0;;;100.0;12.0;0.0;0.0;9.0;;1.0;;35.0;0.0;;2.0;non;oui;oui;non;non;non;10moins50;OuiPerma;50OuPlus;30.0;oui;oui;;oui;oui;oui;non;non;non;non;;oui;;;;;;76;Occitanie
0090001C;2018;340;Collège;C;TOULOUSE;ARIEGE;200.0;17.0;non;oui;oui;oui;oui;non;oui;oui;non;non;1a4;non;oui;oui;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;105.0;0.0;;31.0;1.0;0.0;0.0;0.0;0.0;6.0;20pcta50pct;8.0;0.0;0.0;0.0;non;oui;non;non;non;non;De2a10;;50pctOuPlus;8.0;oui;oui;oui;oui;oui;oui;non;oui;non;ouiEntiteExt;OuiTous;non;;;;;;76;Occitanie
0090007J;2018;340;Collège;C;TOULOUSE;ARIEGE;265.0;24.0;non;oui;oui;oui;oui;non;non;oui;non;non;5a9;oui;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;oui;non;non;182.0;0.0;0.0;41.0;3.0;0.0;0.0;0.0;0.0;10.0;20pcta50pct;12.0;0.0;0.0;1.0;non;oui;non;non;non;non;De2a10;Non;50pctOuPlus;37.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
0090009L;2018;340;Collège;C;TOULOUSE;ARIEGE;400.0;28.0;non;oui;oui;non;oui;non;non;oui;non;non;10a19;oui;oui;oui;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;124.0;0.0;0.0;56.0;1.0;0.0;0.0;3.0;3.0;2.0;Mois20pct;15.0;0.0;0.0;0.0;non;oui;non;non;non;non;De2a10;Non;50pctOuPlus;10.0;oui;oui;oui;oui;oui;non;non;non;non;ouiPersonnelEtb;OuiTous;oui;;;;;;76;Occitanie
0090013R;2018;306;Lycées Polyvalents;G;TOULOUSE;ARIEGE;590.0;73.0;non;oui;oui;oui;oui;non;non;oui;non;non;;oui;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;oui;non;non;730.0;14.0;2.0;400.0;55.0;0.0;12.0;0.0;;3.0;Mois20pct;43.0;1.0;5.0;6.0;non;oui;non;non;non;non;100OuPlus;OuiBorneMobile;50pctOuPlus;23.0;oui;oui;oui;oui;oui;non;non;oui;non;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0090015T;2018;306;Lycées Polyvalents;G;TOULOUSE;ARIEGE;1421.0;117.0;oui;oui;oui;oui;oui;non;non;oui;non;non;1a4;oui;oui;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;non;non;847.0;0.0;0.0;300.0;101.0;0.0;0.0;1.0;1.0;0.0;;54.0;4.0;64.0;2.0;non;oui;non;non;non;non;10moins50;OuiBorneMobile;50pctOuPlus;45.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;oui;;;;;;76;Occitanie
0090024C;2018;320;LP;P;TOULOUSE;ARIEGE;217.0;25.0;oui;oui;oui;oui;non;oui;non;oui;non;non;5a9;non;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;non;oui;non;161.0;;;116.0;20.0;0.0;2.0;;;2.0;Mois20pct;9.0;1.0;;;non;oui;non;non;non;non;De2a10;OuiBorneMobile;Mois20pct;3.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
0090574A;2018;340;Collège;C;TOULOUSE;ARIEGE;681.0;60.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;Occitanie
0110067N;2018;340;Collège;C;MONTPELLIER;AUDE;665.0;48.0;non;oui;non;non;non;non;non;oui;non;non;10a19;oui;oui;non;oui;oui;non;oui;non;oui;oui;oui;oui;oui;oui;non;non;non;190.0;0.0;;67.0;0.0;0.0;0.0;3.0;3.0;0.0;;26.0;1.0;0.0;;non;non;oui;non;non;non;De2a10;;50pctOuPlus;20.0;oui;oui;oui;oui;oui;non;non;oui;oui;ouiPersonnelEtb;OuiTous;non;;;;;;76;Occitanie
0110665N;2018;340;Collège;C;MONTPELLIER;AUDE;751.0;53.0;non;oui;oui;oui;non;non;non;oui;non;non;1a4;oui;oui;oui;oui;non;oui;oui;non;oui;oui;oui;oui;oui;oui;oui;oui;non;140.0;11.0;0.0;85.0;75.0;0.0;15.0;1.0;1.0;11.0;20pcta50pct;28.0;2.0;;3.0;non;non;oui;non;non;non;De2a10;OuiPerma;50pctOuPlus;20.0;oui;oui;oui;oui;non;oui;non;oui;non;non;OuiTous;oui;;;;;;76;Occitanie
0110666P;2018;340;Collège;C;MONTPELLIER;AUDE;520.0;38.0;non;oui;oui;oui;non;non;non;oui;non;non;10a19;non;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;oui;non;non;130.0;0.0;0.0;100.0;30.0;0.0;0.0;7.0;0.0;0.0;;21.0;1.0;0.0;1.0;non;non;oui;non;non;non;De2a10;OuiPerma;50pctOuPlus;16.0;oui;oui;oui;oui;oui;oui;oui;oui;non;non;OuiTous;oui;;;;;;76;Occitanie
0111015U;2018;340;Collège;C;MONTPELLIER;AUDE;668.0;48.0;non;oui;oui;oui;oui;non;non;oui;non;non;10a19;oui;non;oui;oui;oui;non;non;non;oui;oui;oui;oui;oui;oui;oui;oui;non;531.0;;370.0;428.0;387.0;370.0;40.0;0.0;0.0;1.0;50pctOuPlus;25.0;1.0;28.0;0.0;non;oui;non;non;non;non;10moins50;OuiPerma;50pctOuPlus;10.0;oui;oui;oui;oui;oui;non;non;oui;non;non;OuiTous;oui;;;;;;76;Occitanie
0120004P;2018;340;Collège;C;TOULOUSE;AVEYRON;147.0;22.0;non;oui;oui;oui;oui;non;non;oui;non;non;1a4;oui;oui;oui;oui;oui;oui;non;non;oui;oui;oui;oui;oui;oui;non;non;non;58.0;2.0;;50.0;1.0;0.0;0.0;0.0;0.0;0.0;;13.0;0.0;0.0;;non;non;oui;non;non;non;De2a10;Non;50pctOuPlus;16.0;oui;oui;oui;oui;oui;non;non;non;non;non;OuiTous;oui;;;;;;76;Occitanie
0120021H;2018;340;Collège;C;TOULOUSE;AVEYRON;360.0;21.0;non;oui;oui;oui;oui;non;non;non;non;oui;5a9;non;oui;oui;oui;oui;oui;oui;non;oui;oui;oui;oui;oui;oui;non;oui;non;83.0;;;45.0;0.0;0.0;0.0;0.0;0.0;0.0;;14.0;0.0;1.0;;non;oui;non;non;non;non;De2a10;Non;50pctOuPlus;4.0;oui;oui;non;oui;oui;non;non;non;non;non;OuiTous;non;;;;;;76;Occitanie
