Année;RNE;Nom établissement;Localité;Département;Niveau de Label;Position
2018;0810003N;Lycée professionnel Toulouse Lautrec;Albi;081;1;43.925946863, 2.13937959645
2019;0810003N;Lycée professionnel Toulouse Lautrec;Albi;081;1;43.925946863, 2.13937959645
2021;0810005R;Lycée d'enseignement général Bellevue;Albi;081;1;43.9191566269, 2.16069961044
2017;0650001Y;Lycée climatique Climatique René Billères;Argelès-Gazost;065;1;43.002631819, -0.0938703120221
2021;0650001Y;Lycée climatique Climatique René Billères;Argelès-Gazost;065;3;43.002631819, -0.0938703120221
2021;0120096P;Lycée professionnel du Bâtiment;Aubin;012;1;44.5299398368, 2.24173950773
2019;0320039U;Lycée d'enseignement général et technologique Agricole;Auch;032;2;43.62190345494267, 0.5723183147337335
2021;0320067Z;Lycée polyvalent des Métiers Le Garros;Auch;032;3;43.6306132611, 0.590330176526
2018;0650005C;Lycée polyvalent des Métiers Victor Duruy;Bagnères-de-Bigorre;065;1;43.0630529023, 0.153259933438
2018;0311334G;Lycée d'enseignement général et technologique Edmond Rostand;Bagnères-de-Luchon;031;1;42.7921570493, 0.59861954062
2018;0340006X;Lycée professionnel Fernand Léger;Bédarieux;034;1;43.6108716864, 3.16733957514
2019;0340006X;Lycée professionnel Fernand Léger;Bédarieux;034;2;43.6108716864, 3.16733957514
2019;0340011C;Lycée polyvalent Jean Moulin;Béziers;034;2;43.341574183, 3.23496053762
2019;0312686B;Lycée polyvalent des Métiers Saint Exupéry;Blagnac;031;1;43.6533024374, 1.37557957412
2019;0460493L;Lycée polyvalent des Métiers Gaston Monnerville;Cahors;046;1;44.4635432062, 1.45505007392
2021;0460007H;Lycée d'enseignement général et technologique des Métiers Clément Marot;Cahors;046;1;44.4499252232, 1.43927407211
2021;0460051F;Lycée professionnel Clément Marot;Cahors;046;1;44.4499252232, 1.43927407211
2021;0460493L;Lycée polyvalent des Métiers Gaston Monnerville;Cahors;046;1;44.4635432062, 1.45505007392
2019;0660856X;Lycée polyvalent Rosa Luxemburg;Canet-en-Roussillon;066;2;42.702365358, 3.02665025419
2018;0110007Y;Lycée polyvalent Jules Fil;Carcassonne;011;1;43.2141729679, 2.37127999873
2019;0110004V;Lycée d'enseignement général et technologique Paul Sabatier;Carcassonne;011;1;43.2223162974, 2.34610956966
2021;0110823K;Lycée professionnel Charles Cros;Carcassonne;011;1;43.2280069456, 2.34109986391
2017;0110013E;Lycée professionnel François Andréossy;Castelnaudary;011;1;43.3195391, 1.958891
2017;0110677B;Lycée d'enseignement général et technologique Agricole Pierre Paul Riquet;Castelnaudary;011;1;43.302735856809875, 1.9389805227886023
2018;0110677B;Lycée d'enseignement général et technologique Agricole Pierre Paul Riquet;Castelnaudary;011;1;43.302735856809875, 1.9389805227886023
2021;0110012D;Lycée polyvalent Germaine Tillion;Castelnaudary;011;3;43.3173394011, 1.94886950416
2021;0110677B;Lycée d'enseignement général et technologique Agricole de Castelnaudary;Castelnaudary;011;1;43.3027268906, 1.93897945669
2018;0341921D;Lycée polyvalent Georges Pompidou;Castelnau-le-Lez;034;1;43.6489487886, 3.91989057062
2021;0341921D;Lycée polyvalent Georges Pompidou;Castelnau-le-Lez;034;1;43.6489487886, 3.91989057062
2021;0810959C;Lycée polyvalent Borde Basse;Castres;081;3;43.6262053927, 2.25945350827
2017;0660004W;Lycée polyvalent Déodat de Séverac;Céret;066;1;42.4848304468, 2.75355995201
2019;0660004W;Lycée polyvalent Déodat de Séverac;Céret;066;1;42.4848304468, 2.75355995201
2021;0660004W;Lycée polyvalent Déodat de Séverac;Céret;066;1;42.4848304468, 2.75355995201
2021;0340023R;Lycée d'enseignement général et technologique René Gosse;Clermont-l'Hérault;034;3;43.6261906228, 3.43196950024
2021;0320009L;Lycée d'enseignement général et technologique Bossuet;Condom;032;1;43.9621349441, 0.374100174465
2018;0120006S;Lycée polyvalent la Découverte;Decazeville;012;1;44.5682978671, 2.25510025861
2019;0460010L;Lycée d'enseignement général et technologique des Métiers Champollion;Figeac;046;2;44.6088987897, 2.0274603131
2021;0460032K;Lycée professionnel Champollion;Figeac;046;1;44.6082998232, 2.02732948373
2021;0090002D;Lycée d'enseignement général et technologique Gabriel Fauré;Foix;009;1;42.9619671209, 1.6049297132
2017;0312754A;Lycée d'enseignement général Clémence Royer;Fonsorbes;031;1;43.528554156, 1.2075304596
2019;0460013P;Lycée polyvalent Léo Ferré;Gourdon;046;1;44.731605075, 1.37736967968
2018;0480657D;Lycée général et technologique agricole Louis Pasteur Agricole Louis Pasteur;La Canourgue;048;1;44.4296667, 3.223055555555556
2021;0650012K;Lycée d'enseignement général Michelet;Lannemezan;065;2;43.1267811543, 0.386690372778
2017;0460661U;Lycée professionnel Cahors;Le Montat;046;1;44.3754167, 1.443361111111111
2018;0460661U;Lycée professionnel Cahors;Le Montat;046;1;44.3754167, 1.443361111111111
2021;0300052U;Lycée polyvalent André Chamson;Le Vigan;030;2;43.9896196067, 3.60113045243
2019;0110019L;Lycée polyvalent Jacques Ruffié;Limoux;011;1;43.0508087482, 2.2194301731
2021;0320036R;Lycée d'enseignement général Joseph Saverne;L'Isle-Jourdain;032;2;43.6128620627, 1.08492003203
2017;0340028W;Lycée polyvalent Joseph Vallot;Lodève;034;2;43.7309746362, 3.31485059789
2021;0342090M;Lycée polyvalent Victor Hugo;Lunel;034;1;43.6901690695, 4.13696988813
2021;0810033W;Lycée d'enseignement général et technologique Maréchal Soult;Mazamet;081;1;43.502112181, 2.38029004649
2018;0480007X;Lycée d'enseignement général et technologique Chaptal;Mende;048;1;44.5211784702, 3.50813007903
2019;0301654K;Lycée polyvalent des Métiers Geneviève de Gaulle Anthonioz;Milhaud;030;2;43.7858269439, 4.30962979202
2019;0120014A;Lycée professionnel Jean Vigo;Millau;012;1;44.0900876684, 3.05575839402
2021;0120012Y;Lycée d'enseignement général et technologique Jean Vigo;Millau;012;1;44.0920269362, 3.05459016564
2018;0820016X;Lycée d'enseignement général François Mitterrand;Moissac;082;2;44.1045659889, 1.09296977915
2021;0820883P;Lycée polyvalent Claude Nougaro;Monteils;082;2;44.1731024258, 1.56522950126
2018;0341385W;Lycée professionnel Lycée Léonard de Vinci;Montpellier;034;1;43.6229146115, 3.83258051585
2019;0340038G;Lycée d'enseignement général et technologique Joffre;Montpellier;034;1;43.6120782561, 3.88470980317
2019;0340039H;Lycée d'enseignement général et technologique Georges Clémenceau;Montpellier;034;2;43.6026634567, 3.873020613
2019;0340042L;Lycée polyvalent Jean Mermoz;Montpellier;034;1;43.6116328222, 3.89088020406
