,année,académie,série,admis,inscrits
1394,2011,MONTPELLIER,Serie generale,402,466
1392,2011,MONTPELLIER,Serie professionnelle,429,514
1389,2011,MONTPELLIER,Serie generale,19223,21265
1401,2011,MONTPELLIER,Serie generale,713,994
1404,2011,MONTPELLIER,Serie generale,220,606
1409,2011,MONTPELLIER,Serie professionnelle,180,513
1411,2011,MONTPELLIER,Serie generale,121,237
1395,2011,MONTPELLIER,Serie generale,2992,5516
1399,2011,MONTPELLIER,Serie professionnelle,860,1272
1450,2012,MONTPELLIER,Serie generale,609,804
1453,2012,MONTPELLIER,Serie generale,199,529
1454,2012,MONTPELLIER,Serie professionnelle,180,490
1458,2012,MONTPELLIER,Serie generale,71,107
1447,2012,MONTPELLIER,Serie professionnelle,907,1428
1445,2012,MONTPELLIER,Serie generale,2898,5237
1443,2012,MONTPELLIER,Serie generale,317,385
1435,2012,MONTPELLIER,Serie generale,19845,21883
1439,2012,MONTPELLIER,Serie professionnelle,496,619
1484,2013,MONTPELLIER,Serie professionnelle,1326,2025
1489,2013,MONTPELLIER,Serie professionnelle,233,571
1487,2013,MONTPELLIER,Serie generale,156,459
1481,2013,MONTPELLIER,Serie generale,2445,4865
1479,2013,MONTPELLIER,Serie generale,20208,22767
1145,2013,MONTPELLIER,Serie professionnelle,844,1071
1502,2014,MONTPELLIER,Serie generale,20490,23566
1503,2014,MONTPELLIER,Serie professionnelle,841,1138
1504,2014,MONTPELLIER,Serie professionnelle,1301,2059
1506,2014,MONTPELLIER,Serie generale,129,395
1510,2014,MONTPELLIER,Serie professionnelle,194,494
1176,2014,MONTPELLIER,Serie generale,2240,4717
1537,2015,MONTPELLIER,Serie professionnelle,1146,1677
1534,2015,MONTPELLIER,Serie professionnelle,886,1090
1528,2015,MONTPELLIER,Serie generale,22415,25198
1539,2015,MONTPELLIER,Serie generale,128,371
1206,2015,MONTPELLIER,Serie professionnelle,193,397
1199,2015,MONTPELLIER,Serie generale,2458,4769
1562,2016,MONTPELLIER,Serie professionnelle,160,312
1559,2016,MONTPELLIER,Serie generale,113,284
1557,2016,MONTPELLIER,Serie professionnelle,1081,1501
1555,2016,MONTPELLIER,Serie generale,2515,4631
1549,2016,MONTPELLIER,Serie generale,22645,25437
1552,2016,MONTPELLIER,Serie professionnelle,915,1084
1595,2017,MONTPELLIER,Serie professionnelle,105,258
1593,2017,MONTPELLIER,Serie generale,99,224
1592,2017,MONTPELLIER,Serie professionnelle,1063,1442
1588,2017,MONTPELLIER,Serie generale,2322,4113
1583,2017,MONTPELLIER,Serie professionnelle,971,1158
1580,2017,MONTPELLIER,Serie generale,22918,25654
1627,2018,MONTPELLIER,Serie professionnelle,83,190
1624,2018,MONTPELLIER,Serie generale,85,191
1619,2018,MONTPELLIER,Serie professionnelle,1113,1322
1615,2018,MONTPELLIER,Serie generale,22580,25778
1285,2018,MONTPELLIER,Serie professionnelle,1001,1364
1623,2018,MONTPELLIER,Serie generale,1866,3530
1313,2019,MONTPELLIER,Serie professionnelle,72,148
1649,2019,MONTPELLIER,Serie professionnelle,907,1277
1646,2019,MONTPELLIER,Serie generale,1890,3169
1645,2019,MONTPELLIER,Serie professionnelle,1223,1478
1642,2019,MONTPELLIER,Serie generale,23696,26341
1650,2019,MONTPELLIER,Serie generale,90,182
1676,2020,MONTPELLIER,Serie generale,86,144
1673,2020,MONTPELLIER,Serie professionnelle,998,1164
1670,2020,MONTPELLIER,Serie generale,2152,2791
1667,2020,MONTPELLIER,Serie professionnelle,1638,1770
1334,2020,MONTPELLIER,Serie generale,25770,27035
1679,2020,MONTPELLIER,Serie professionnelle,61,163
1712,2021,MONTPELLIER,Serie professionnelle,46,97
1702,2021,MONTPELLIER,Serie generale,1323,2388
1706,2021,MONTPELLIER,Serie professionnelle,728,1047
1698,2021,MONTPELLIER,Serie professionnelle,1505,1892
1696,2021,MONTPELLIER,Serie generale,25305,28530
1709,2021,MONTPELLIER,Serie generale,41,132
