,Rentrée scolaire,Académie,Code du département,Département,UAI,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
85,2021-2022,MONTPELLIER,011,AUDE,0110003U,COLLEGE DE L ALARIC,11068,CAPENDU,public,96.3
86,2021-2022,MONTPELLIER,011,AUDE,0110011C,COLLEGE BLAISE D AURIOL,11076,CASTELNAUDARY,public,104.2
87,2021-2022,MONTPELLIER,011,AUDE,0110675Z,COLLEGE MICHEL BOUSQUIE,11304,QUILLAN,public,83.0
88,2021-2022,MONTPELLIER,011,AUDE,0110686L,COLLEGE JOSEPH ANGLADE,11203,LEZIGNAN CORBIERES,public,95.5
89,2021-2022,MONTPELLIER,011,AUDE,0110724C,COLLEGE DES CORBIERES MARITIMES,11379,SIGEAN,public,98.2
90,2021-2022,MONTPELLIER,011,AUDE,0110870L,COLLEGE ANTOINE PONS,11091,CHALABRE,public,98.2
91,2021-2022,MONTPELLIER,011,AUDE,0110896P,COLLEGE PRIVE JEANNE D ARC,11076,CASTELNAUDARY,privé sous contrat,118.2
299,2021-2022,MONTPELLIER,030,GARD,0300042H,COLLEGE MARCEAU LAPIERRE,30269,SAINT JEAN DU GARD,public,108.7
300,2021-2022,MONTPELLIER,030,GARD,0300050S,COLLEGE,30344,VERGEZE,public,105.4
301,2021-2022,MONTPELLIER,030,GARD,0300101X,COLLEGE PRIVE MAINTENON,30321,SOMMIERES,privé sous contrat,123.9
302,2021-2022,MONTPELLIER,030,GARD,0300141R,COLLEGE CONDORCET,30189,NIMES,public,62.1
303,2021-2022,MONTPELLIER,030,GARD,0300922P,COLLEGE PRIVE TAISSON,30007,ALES,privé sous contrat,117.6
304,2021-2022,MONTPELLIER,030,GARD,0301014P,COLLEGE DENIS DIDEROT,30007,ALES,public,88.2
305,2021-2022,MONTPELLIER,030,GARD,0301245R,COLLEGE LOU CASTELLAS,30156,MARGUERITTES,public,106.4
306,2021-2022,MONTPELLIER,030,GARD,0301356L,COLLEGE PRIVE EMMANUEL D ALZON,30189,NIMES,privé sous contrat,102.7
307,2021-2022,MONTPELLIER,030,GARD,0301656M,COLLEGE CLAUDIE HAIGNERE,30217,ROCHEFORT DU GARD,public,116.2
308,2021-2022,MONTPELLIER,030,GARD,0301670C,COLLEGE FREDERIC DESMONS,30255,SAINT GENIES DE MALGOIRES,public,104.2
309,2021-2022,MONTPELLIER,030,GARD,0301721H,COLLEGE JEAN LOUIS TRINTIGNANT,30334,UZES,public,108.2
310,2021-2022,MONTPELLIER,030,GARD,0301723K,COLLEGE THEODORE MONOD,30082,CLARENSAC,public,120.2
311,2021-2022,MONTPELLIER,030,GARD,0301751R,COLLEGE PRIVE EMMANUEL D ALZON,30133,LE GRAU DU ROI,privé sous contrat,114.9
312,2021-2022,MONTPELLIER,030,GARD,0301816L,COLLEGE CLAUDE CHAPPE,30123,GALLARGUES LE MONTUEUX,public,110.8
374,2021-2022,MONTPELLIER,034,HERAULT,0340025T,COLLEGE LES DEUX PINS,34108,FRONTIGNAN,public,95.2
375,2021-2022,MONTPELLIER,034,HERAULT,0340032A,COLLEGE LES ARBOURYS,34147,MAGALAS,public,106.4
376,2021-2022,MONTPELLIER,034,HERAULT,0340053Y,COLLEGE CROIX D ARGENT,34172,MONTPELLIER,public,88.2
377,2021-2022,MONTPELLIER,034,HERAULT,0340063J,COLLEGE LOUIS CAHUZAC,34226,QUARANTE,public,100.3
378,2021-2022,MONTPELLIER,034,HERAULT,0340070S,COLLEGE DU JAUR,34284,SAINT PONS DE THOMIERES,public,97.0
379,2021-2022,MONTPELLIER,034,HERAULT,0340110K,COLLEGE PIC SAINT LOUP,34247,SAINT CLEMENT DE RIVIERE,public,131.9
380,2021-2022,MONTPELLIER,034,HERAULT,0340111L,COLLEGE CLEMENCEAU,34172,MONTPELLIER,public,103.1
381,2021-2022,MONTPELLIER,034,HERAULT,0340117T,COLLEGE PAUL DARDE,34142,LODEVE,public,99.6
382,2021-2022,MONTPELLIER,034,HERAULT,0340119V,COLLEGE FERDINAND FABRE,34028,BEDARIEUX,public,94.4
383,2021-2022,MONTPELLIER,034,HERAULT,0340837A,COLLEGE JEAN BENE,34199,PEZENAS,public,101.1
384,2021-2022,MONTPELLIER,034,HERAULT,0340888F,COLLEGE PRIVE NOTRE DAME,34028,BEDARIEUX,privé sous contrat,91.9
385,2021-2022,MONTPELLIER,034,HERAULT,0340891J,COLLEGE PRIVE SAINTE MADELEINE,34032,BEZIERS,privé sous contrat,106.3
386,2021-2022,MONTPELLIER,034,HERAULT,0340896P,COLLEGE PRIVE LA PRESENTATION,34111,GANGES,privé sous contrat,99.4
