,label,annee,localite,departement,nom_etablissement,position,rne,latitude,longitude
0,1,2018,Agde,034,Lycée polyvalent Auguste Loubatières,"[43.3000701903, 3.48305956456]",0340002T,43.3000701903,3.48305956456
1,1,2019,Agde,034,Lycée polyvalent Auguste Loubatières,"[43.3000701903, 3.48305956456]",0340002T,43.3000701903,3.48305956456
2,2,2018,Albi,081,Lycée d'enseignement général et technologique des Métiers Louis Rascol,"[43.9310426514, 2.15075998953]",0810004P,43.9310426514,2.15075998953
3,1,2017,Albi,081,Lycée d'enseignement général Lapérouse,"[43.9302066348, 2.14718960529]",0810006S,43.9302066348,2.14718960529
4,1,2018,Albi,081,Lycée d'enseignement général Lapérouse,"[43.9302066348, 2.14718960529]",0810006S,43.9302066348,2.14718960529
5,1,2019,Albi,081,Lycée d'enseignement général Lapérouse,"[43.9302066348, 2.14718960529]",0810006S,43.9302066348,2.14718960529
6,1,2019,Albi,081,Lycée général et technologique agricole - EPLA d'Albi Agricole Epla d'Albi,"[43.91942160700829, 2.1017936829450465]",0810121S,43.91942160700829,2.1017936829450465
7,1,2021,Alès,030,Lycée polyvalent des Métiers Jean Baptiste Dumas,"[44.1300769158, 4.07498948252]",0300002P,44.1300769158,4.07498948252
8,2,2018,Argelès-Gazost,065,Lycée climatique Climatique René Billères,"[43.002631819, -0.0938703120221]",0650001Y,43.002631819,-0.0938703120221
9,3,2018,Auch,032,Lycée professionnel Pardailhan,"[43.6535380428, 0.578259928462]",0320040V,43.6535380428,0.578259928462
10,1,2018,Aureilhan,065,Lycée professionnel Sixte Vignon,"[43.2453359939, 0.0851603398894]",0650028C,43.2453359939,0.0851603398894
11,1,2017,Bagnères-de-Bigorre,065,Lycée polyvalent des Métiers Victor Duruy,"[43.0630529023, 0.153259933438]",0650005C,43.0630529023,0.153259933438
12,1,2019,Bagnères-de-Bigorre,065,Lycée polyvalent des Métiers Victor Duruy,"[43.0630529023, 0.153259933438]",0650005C,43.0630529023,0.153259933438
13,1,2019,Bagnères-de-Luchon,031,Lycée polyvalent Edmond Rostand des Métiers du Bois,"[42.7921570493, 0.59861954062]",0311334G,42.7921570493,0.59861954062
14,1,2018,Bagnols-sur-Cèze,030,Lycée polyvalent Albert Einstein,"[44.1638024321, 4.61178004196]",0300950V,44.1638024321,4.61178004196
15,1,2019,Beaucaire,030,Lycée professionnel Paul Langevin,"[43.8122209821, 4.64080001489]",0300011Z,43.8122209821,4.64080001489
16,1,2021,Beaucaire,030,Lycée professionnel Paul Langevin,"[43.8122209821, 4.64080001489]",0300011Z,43.8122209821,4.64080001489
17,1,2019,Beaumont-de-Lomagne,082,Lycée professionnel des Métiers du Bâtiment et de la Topographie,"[43.8769993582, 0.977210268058]",0820001F,43.8769993582,0.977210268058
18,1,2021,Beaumont-de-Lomagne,082,Lycée professionnel des Métiers du Bâtiment et de la Topographie,"[43.8769993582, 0.977210268058]",0820001F,43.8769993582,0.977210268058
19,2,2021,Bédarieux,034,Lycée d'enseignement général Ferdinand Fabre,"[43.6104634486, 3.1544003622]",0340005W,43.6104634486,3.1544003622
20,2,2019,Béziers,034,Lycée professionnel Jean Mermoz,"[43.3492617569, 3.233909559]",0340012D,43.3492617569,3.233909559
21,2,2021,Blagnac,031,Lycée polyvalent des Métiers Saint Exupéry,"[43.6533024374, 1.37557957412]",0312686B,43.6533024374,1.37557957412
22,2,2017,Canet-en-Roussillon,066,Lycée polyvalent Rosa Luxemburg,"[42.702365358, 3.02665025419]",0660856X,42.702365358,3.02665025419
23,1,2018,Carcassonne,011,Lycée professionnel Charles Cros,"[43.2280069456, 2.34109986391]",0110823K,43.2280069456,2.34109986391
24,1,2019,Carcassonne,011,Lycée professionnel Charles Cros,"[43.2280069456, 2.34109986391]",0110823K,43.2280069456,2.34109986391
25,1,2019,Castelsarrasin,082,Lycée polyvalent Jean de Prades,"[44.031367027, 1.12059055212]",0820004J,44.031367027,1.12059055212
26,2,2021,Castelsarrasin,082,Lycée polyvalent Jean de Prades,"[44.031367027, 1.12059055212]",0820004J,44.031367027,1.12059055212
27,3,2017,Castres,081,Lycée d'enseignement général et technologique Borde Basse,"[43.6262053927, 2.25945350827]",0810959C,43.6262053927,2.25945350827
28,1,2018,Castres,081,Lycée professionnel Anne Veaute,"[43.6024716659, 2.2347406107]",0810018E,43.6024716659,2.2347406107
29,3,2019,Castres,081,Lycée polyvalent Borde Basse,"[43.6262053927, 2.25945350827]",0810959C,43.6262053927,2.25945350827
30,1,2018,Colomiers,031,Lycée professionnel Éugène Montel,"[43.6096162379, 1.35074839365]",0311092U,43.6096162379,1.35074839365
31,2,2021,Colomiers,031,Lycée d'enseignement général et technologique International Victor Hugo,"[43.6159163683, 1.30821054004]",0312093G,43.6159163683,1.30821054004
32,1,2018,Ferrières-sur-Ariège,009,Lycée professionnel Jean Durroux,"[42.9490109341, 1.61791016016]",0090003E,42.9490109341,1.61791016016
33,1,2019,Ferrières-sur-Ariège,009,Lycée professionnel Jean Durroux,"[42.9490109341, 1.61791016016]",0090003E,42.9490109341,1.61791016016
34,1,2021,Ferrières-sur-Ariège,009,Lycée professionnel Jean Durroux,"[42.9490109341, 1.61791016016]",0090003E,42.9490109341,1.61791016016
35,1,2021,Figeac,046,Lycée d'enseignement général et technologique Agricole de Figeac,"[44.570908735, 2.02600022639]",0460490H,44.570908735,2.02600022639
36,2,2021,Fonsorbes,031,Lycée d'enseignement général Clémence Royer,"[43.528554156, 1.2075304596]",0312754A,43.528554156,1.2075304596
37,2,2019,Font-Romeu-Odeillo-Via,066,Lycée climatique Pierre de Coubertin,"[42.5136521775, 2.04424977172]",0660057D,42.5136521775,2.04424977172
38,1,2018,Gourdon,046,Lycée polyvalent Léo Ferré,"[44.731605075, 1.37736967968]",0460013P,44.731605075,1.37736967968
39,1,2021,Gourdon,046,Lycée polyvalent Léo Ferré,"[44.731605075, 1.37736967968]",0460013P,44.731605075,1.37736967968
40,1,2021,Graulhet,081,Lycée professionnel Docteur Clément de Pemille,"[43.7653960604, 1.99608948763]",0810995S,43.7653960604,1.99608948763
41,1,2019,La Canourgue,048,Lycée ens général technologique professionnel agricole Agricole Louis Pasteur,"[44.4296667, 3.223055555555556]",0480657D,44.4296667,3.223055555555556
42,1,2021,Lavaur,081,Lycée d'enseignement général Las Cases,"[43.699565241, 1.82042999045]",0810030T,43.699565241,1.82042999045
43,1,2018,Le Vigan,030,Lycée polyvalent André Chamson,"[43.9896196067, 3.60113045243]",0300052U,43.9896196067,3.60113045243
44,1,2019,Le Vigan,030,Lycée polyvalent André Chamson,"[43.9896196067, 3.60113045243]",0300052U,43.9896196067,3.60113045243
45,2,2021,Lézignan-Corbières,011,Lycée polyvalent Érnest Ferroul,"[43.1817404504, 2.75881965271]",0111048E,43.1817404504,2.75881965271
46,2,2018,Lodève,034,Lycée polyvalent Joseph Vallot,"[43.7309746362, 3.31485059789]",0340028W,43.7309746362,3.31485059789
47,2,2019,Lodève,034,Lycée polyvalent Joseph Vallot,"[43.7309746362, 3.31485059789]",0340028W,43.7309746362,3.31485059789
48,1,2017,Lourdes,065,Lycée professionnel de l'Arrouza,"[43.0899003529, -0.0488904495107]",0650014M,43.0899003529,-0.0488904495107
49,1,2018,Lourdes,065,Lycée professionnel de l'Arrouza,"[43.0899003529, -0.0488904495107]",0650014M,43.0899003529,-0.0488904495107
50,1,2019,Lourdes,065,Lycée professionnel de l'Arrouza,"[43.0899003529, -0.0488904495107]",0650014M,43.0899003529,-0.0488904495107
51,2,2021,Lunel,034,Lycée polyvalent Louis Feuillade,"[43.6709371975, 4.12241051571]",0340030Y,43.6709371975,4.12241051571
52,1,2021,Mazamet,081,Lycée professionnel Hôtelier,"[43.5045256663, 2.38351985365]",0811144D,43.5045256663,2.38351985365
53,1,2019,Mirande,032,Lycée professionnel Mirande,"[43.530172, 0.401851]",0320557G,43.530172,0.401851
54,1,2021,Mirande,032,Lycée polyvalent Alain Fournier,"[43.5169094414, 0.40423046772]",0320023B,43.5169094414,0.40423046772
55,2,2021,Mirande,032,Lycée professionnel de Mirande,"[43.5301351873, 0.401709982471]",0320557G,43.5301351873,0.401709982471
56,1,2019,Montauban,082,Lycée ens général technologique professionnel agricole Agricole,"[44.031948, 1.314747]",0820559M,44.031948,1.314747
57,1,2019,Montauban,082,Lycée d'enseignement général Michelet,"[44.0142380592, 1.36266992623]",0820020B,44.0142380592,1.36266992623
58,2,2021,Montauban,082,Lycée d'enseignement général Jules Michelet,"[44.0142380592, 1.36266992623]",0820020B,44.0142380592,1.36266992623
59,1,2018,Monteils,082,Lycée d'enseignement général et technologique Claude Nougaro,"[44.1731024258, 1.56522950126]",0820883P,44.1731024258,1.56522950126
60,1,2017,Montpellier,034,Lycée d'enseignement général et technologique Joffre,"[43.6120782561, 3.88470980317]",0340038G,43.6120782561,3.88470980317
61,1,2017,Montpellier,034,Lycée professionnel Jules Ferry,"[43.606075055, 3.84160977179]",0340045P,43.606075055,3.84160977179
62,2,2017,Montpellier,034,Lycée polyvalent des Métiers Georges Frêche,"[43.6049332853, 3.91206971476]",0342225J,43.6049332853,3.91206971476
63,2,2018,Montpellier,034,Lycée professionnel Pierre Mendès France,"[43.5976816426, 3.91826025291]",0340043M,43.5976816426,3.91826025291
64,1,2018,Montpellier,034,Établissement régional d'enseignement adapté Jean Jacques Rousseau,"[43.6068886778, 3.84053941834]",0340833W,43.6068886778,3.84053941834
65,2,2018,Montpellier,034,Lycée d'enseignement général et technologique Jean Monnet,"[43.628708597, 3.83093651783]",0341736C,43.628708597,3.83093651783
66,2,2019,Montpellier,034,Lycée professionnel Pierre Mendès France,"[43.5976816426, 3.91826025291]",0340043M,43.5976816426,3.91826025291
67,1,2019,Montpellier,034,Établissement régional d'enseignement adapté Jean Jacques Rousseau,"[43.6068886778, 3.84053941834]",0340833W,43.6068886778,3.84053941834
68,1,2019,Montpellier,034,Lycée professionnel Lycée Léonard de Vinci,"[43.6229146115, 3.83258051585]",0341385W,43.6229146115,3.83258051585
69,1,2021,Montpellier,034,Lycée d'enseignement général et technologique Georges Clémenceau,"[43.6026634567, 3.873020613]",0340039H,43.6026634567,3.873020613
70,1,2021,Montpellier,034,Lycée polyvalent Jules Guesde,"[43.6117160758, 3.8479700774]",0340040J,43.6117160758,3.8479700774
71,1,2021,Montpellier,034,Lycée professionnel Pierre Mendès France,"[43.5976816426, 3.91826025291]",0340043M,43.5976816426,3.91826025291
72,1,2021,Montpellier,034,Lycée d'enseignement général et technologique Agricole de l'Hérault,"[43.6466218888, 3.86404045181]",0340128E,43.6466218888,3.86404045181
73,1,2021,Montpellier,034,Établissement régional d'enseignement adapté Jean Jacques Rousseau,"[43.6068886778, 3.84053941834]",0340833W,43.6068886778,3.84053941834
74,2,2018,Muret,031,Lycée d'enseignement général et technologique Pierre d'Aragon,"[43.4542722924, 1.33068939434]",0310024H,43.4542722924,1.33068939434
75,1,2019,Muret,031,Établissement régional d'enseignement adapté,"[43.4491796446, 1.31670977687]",0311240E,43.4491796446,1.31670977687
76,1,2021,Muret,031,Établissement régional d'enseignement adapté de Muret,"[43.4491796446, 1.31670977687]",0311240E,43.4491796446,1.31670977687
77,1,2021,Muret,031,Lycée polyvalent des Métiers Charles de Gaulle,"[43.4688650393, 1.32162060132]",0312822Z,43.4688650393,1.32162060132
78,3,2017,Narbonne,011,Lycée d'enseignement général et technologique Docteur Lacroix,"[43.1775350538, 3.00219016219]",0110022P,43.1775350538,3.00219016219
79,1,2017,Narbonne,011,Lycée polyvalent Louise Michel,"[43.1895828012, 3.0194500406]",0110023R,43.1895828012,3.0194500406
80,3,2017,Nîmes,030,Lycée d'enseignement général et technologique Albert Camus,"[43.8354908641, 4.34554004061]",0300023M,43.8354908641,4.34554004061
81,1,2017,Nîmes,030,Lycée professionnel des Métiers Frédéric Mistral,"[43.8228290113, 4.36043026789]",0300058A,43.8228290113,4.36043026789
82,1,2017,Nîmes,030,Lycée d'enseignement général et technologique Philippe Lamour,"[43.831576246, 4.3848306214]",0301552Z,43.831576246,4.3848306214
83,3,2018,Nîmes,030,Lycée d'enseignement général et technologique Albert Camus,"[43.8354908641, 4.34554004061]",0300023M,43.8354908641,4.34554004061
84,1,2018,Nîmes,030,Lycée professionnel Voltaire,"[43.8267667577, 4.33706002093]",0301210C,43.8267667577,4.33706002093
85,1,2019,Nîmes,030,Lycée professionnel des Métiers Frédéric Mistral,"[43.8228290113, 4.36043026789]",0300058A,43.8228290113,4.36043026789
86,3,2021,Nîmes,030,Lycée d'enseignement général et technologique Albert Camus,"[43.8354908641, 4.34554004061]",0300023M,43.8354908641,4.34554004061
87,2,2021,Nîmes,030,Lycée professionnel Voltaire,"[43.8267667577, 4.33706002093]",0301210C,43.8267667577,4.33706002093
88,1,2021,Nîmes,030,Lycée professionnel Jules Raimu,"[43.8194463251, 4.33025974761]",0301270T,43.8194463251,4.33025974761
89,1,2017,Ondes,031,Lycée d'enseignement général et technologique Legta d'Ondes,"[43.780091, 1.320569]",0312354R,43.780091,1.320569
90,1,2019,Ondes,031,Lycée d'enseignement général et technologique Legta d'Ondes,"[43.780091, 1.320569]",0312354R,43.780091,1.320569
91,1,2017,Pamiers,009,Lycée d'enseignement général et technologique Agricole Epla de Pamiers,"[43.123536, 1.643413]",0090022A,43.123536,1.643413
92,1,2021,Pamiers,009,Lycée polyvalent Pyrène,"[43.1149360138, 1.60903977104]",0090015T,43.1149360138,1.60903977104
93,1,2018,Perpignan,066,Lycée d'enseignement général et technologique François Arago,"[42.6947528759, 2.8860399788]",0660010C,42.6947528759,2.8860399788
94,1,2018,Perpignan,066,Établissement régional d'enseignement adapté Joan Miro,"[42.6792906474, 2.8951702806]",0660078B,42.6792906474,2.8951702806
95,3,2018,Perpignan,066,Lycée polyvalent Aristide Maillol,"[42.7175723734, 2.88617943594]",0660809W,42.7175723734,2.88617943594
96,1,2019,Perpignan,066,Établissement régional d'enseignement adapté Joan Miro,"[42.6792906474, 2.8951702806]",0660078B,42.6792906474,2.8951702806
97,3,2019,Perpignan,066,Lycée polyvalent Aristide Maillol,"[42.7175723734, 2.88617943594]",0660809W,42.7175723734,2.88617943594
98,1,2021,Perpignan,066,Établissement régional d'enseignement adapté Joan Miro,"[42.6792906474, 2.8951702806]",0660078B,42.6792906474,2.8951702806
99,2,2018,Pézenas,034,Lycée d'enseignement général et technologique Jean Moulin,"[43.4578628983, 3.41627013008]",0340059E,43.4578628983,3.41627013008
100,1,2019,Pézenas,034,Lycée professionnel Pézenas,"[43.456995, 3.417222]",0341059S,43.456995,3.417222
101,2,2018,Prades,066,Lycée polyvalent Charles Renouvier,"[42.6242604437, 2.41702969015]",0660021P,42.6242604437,2.41702969015
102,1,2019,Rodez,012,Lycée d'enseignement général et technologique Agricole de Rodez,"[44.382896, 2.585768]",0120937D,44.382896,2.585768
103,1,2019,Rodez,012,Lycée d'enseignement général Ferdinand Foch,"[44.3496434349, 2.55991950032]",0120022J,44.3496434349,2.55991950032
104,1,2019,Rodez,012,Lycée d'enseignement général et technologique des Métiers Alexis Monteil,"[44.3569646604, 2.57158995484]",0120024L,44.3569646604,2.57158995484
105,1,2019,Rodez,012,Lycée professionnel Ferdinand Foch,"[44.3503527724, 2.56263001808]",0120038B,44.3503527724,2.56263001808
106,1,2021,Rodez,012,Lycée professionnel Alexis Monteil,"[44.3571261257, 2.57237039021]",0120037A,44.3571261257,2.57237039021
107,1,2021,Rodez,012,Lycée professionnel Ferdinand Foch,"[44.3503527724, 2.56263001808]",0120038B,44.3503527724,2.56263001808
108,1,2021,Saint-Affrique,012,Lycée polyvalent des Métiers Jean Jaurès,"[43.9496673777, 2.89582196201]",0120025M,43.9496673777,2.89582196201
109,1,2019,Saint-Céré,046,Lycée d'enseignement général Jean Lurçat,"[44.8579434483, 1.89232951766]",0460026D,44.8579434483,1.89232951766
110,2,2021,Saint-Chély-d'Apcher,048,Lycée polyvalent des Métiers Théophile Roussel,"[44.8037071463, 3.27366945533]",0480688M,44.8037071463,3.27366945533
111,1,2018,Saint-Christol-lès-Alès,030,Lycée polyvalent Jacques Prévert,"[44.0931630254, 4.08262261102]",0301778V,44.0931630254,4.08262261102
112,1,2021,Saint-Clément-de-Rivière,034,Lycée polyvalent des Métiers Jean Jaurès,"[43.7108654757, 3.83328961912]",0342066L,43.7108654757,3.83328961912
113,1,2019,Saint-Girons,009,Lycée professionnel François Camel,"[42.97435271, 1.15392951597]",0090020Y,42.97435271,1.15392951597
114,1,2021,Saint-Girons,009,Lycée professionnel François Camel,"[42.97435271, 1.15392951597]",0090020Y,42.97435271,1.15392951597
