,Etablissement,annee,Ville,UAI,Code commune,Academie,departement,Secteur,Presents - L,Presents - ES,Presents - S,Presents - STG,Presents - STI2D,Presents - STD2A,Presents - STMG,Presents - STI,Presents - STL,Presents - ST2S,Presents - TMD,Presents - STHR,Presents - Toutes series,Taux de reussite - L,Taux de reussite - ES,Taux de reussite - S,Taux de reussite - STG,Taux de reussite - STI2D,Taux de reussite - STD2A,Taux de reussite - STMG,Taux de reussite - STI,Taux de reussite - STL,Taux de reussite - ST2S,Taux de reussite - TMD,Taux de reussite - STHR,taux_reussite_total,Taux de reussite attendu acad - L,Taux de reussite attendu acad - ES,Taux de reussite attendu acad - S,Taux de reussite attendu acad - STG,Taux de reussite attendu acad - STI2D,Taux de reussite attendu acad - STD2A,Taux de reussite attendu acad - STMG,Taux de reussite attendu acad - STI,Taux de reussite attendu acad - STL,Taux de reussite attendu acad - ST2S,Taux de reussite attendu acad - TMD,Taux de reussite attendu acad - STHR,Taux de reussite attendu acad - Toutes series,Taux de reussite attendu france - L,Taux de reussite attendu france - ES,Taux de reussite attendu france - S,Taux de reussite attendu france - STG,Taux de reussite attendu france - STI2D,Taux de reussite attendu france - STD2A,Taux de reussite attendu france - STMG,Taux de reussite attendu france - STI,Taux de reussite attendu france - STL,Taux de reussite attendu france - ST2S,Taux de reussite attendu france - TMD,Taux de reussite attendu france - STHR,taux_reussite_attendu_total,Taux de mentions - L,Taux de mentions - ES,Taux de mentions - S,Taux de mentions - STI2D,Taux de mentions - STD2A,Taux de mentions - STMG,Taux de mentions - STL,Taux de mentions - ST2S,Taux de mentions - TMD,Taux de mentions - STHR,Taux de mentions - Toutes series,Taux de mentions attendu - L,Taux de mentions attendu - ES,Taux de mentions attendu - S,Taux de mentions attendu - STI2D,Taux de mentions attendu - STD2A,Taux de mentions attendu - STMG,Taux de mentions attendu - STL,Taux de mentions attendu - ST2S,Taux de mentions attendu - TMD,Taux de mentions attendu - STHR,Taux de mentions attendu - Toutes series,Structure pedagogique 5 groupes,Structure pedagogique 7 groupes,Pourcentage bacheliers sortants 2de 1re Terminale Etablissement,Pourcentage bacheliers sortants Terminales Etablissement,Pourcentage bacheliers sortants 2de 1re Terminale Acad,Pourcentage bacheliers sortants Terminale Acad,Pourcentage bacheliers sortants 2de 1re Terminale France,Pourcentage bacheliers sortants Terminale France,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'acces 2nde-bac,Taux d'acces attendu acad 2nde-bac,Taux d'acces attendu france 2nde-bac,Taux d'acces 1ere-bac,Taux d'acces attendu acad 1ere-bac,Taux d'acces attendu france 1ere-bac,Taux d'acces terminale-bac,Taux d'acces attendu france terminale-bac,Region,Code region,code_departement,Libelle departement,valeur_ajoute_totale,Valeur ajoutee du taux d'acces 2nde-bac,Valeur ajoutee du taux de mentions - Toutes series,Valeur ajoutee du taux de reussite - L,Valeur ajoutee du taux de reussite - ES,Valeur ajoutee du taux de reussite - S,Valeur ajoutee du taux de reussite - STG,Valeur ajoutee du taux de reussite - STI2D,Valeur ajoutee du taux de reussite - STD2A,Valeur ajoutee du taux de reussite - STMG,Valeur ajoutee du taux de reussite - STI,Valeur ajoutee du taux de reussite - STL,Valeur ajoutee du taux de reussite - ST2S,Valeur ajoutee du taux de reussite - TMD,Valeur ajoutee du taux de reussite - STHR,Valeur ajoutee du taux d'acces 1ere-bac,Valeur ajoutee du taux d'acces terminale-bac,Valeur ajoutee du taux de mentions - L,Valeur ajoutee du taux de mentions - ES,Valeur ajoutee du taux de mentions - S,Valeur ajoutee du taux de mentions - STI2D,Valeur ajoutee du taux de mentions - STD2A,Valeur ajoutee du taux de mentions - STMG,Valeur ajoutee du taux de mentions - STL,Valeur ajoutee du taux de mentions - ST2S,Valeur ajoutee du taux de mentions - TMD,Valeur ajoutee du taux de mentions - STHR,Presents - Gnle,Taux de reussite - Gnle,Valeur ajoutee du taux de réussite - Gnle,Taux de mentions - Gnle,Valeur ajoutée du taux de mentions - Gnle
4231,LYCEE DEODAT DE SEVERAC,2012,TOULOUSE,0310044E,31555,TOULOUSE,HAUTE GARONNE,PU,,,86.0,,,,,153.0,75.0,,,,314,,,91.0,,,,,90.0,92.0,,,,91,,,93.0,,,,,92.0,91.0,,,,92.0,,,94,,,,,89.0,93,,,,91,,,,,,,,,,,,,,,,,,,,,,,3.0,,72.0,94.0,73.0,94.0,72.0,92.0,205.0,327.0,,56,60.0,57,85.0,86.0,82,,,OCCITANIE,76,31,Haute-Garonne,0,-1,,,,-3,,,,,1,-1,,,,3,,,,,,,,,,,,,,,,
14397,LYCEE VICTOR DURUY (GENERAL ET TECHNO.),2012,BAGNERES DE BIGORRE CEDE,0650005C,65059,TOULOUSE,HAUTES PYRENEES,PU,10.0,34.0,39.0,,,,,13.0,,,,,96,100.0,100.0,92.0,,,,,100.0,,,,,97,95.0,94.0,94.0,,,,,87.0,,,,,93.0,94.0,95.0,95.0,,,,,85.0,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,87.0,99.0,73.0,94.0,72.0,92.0,118.0,121.0,,86.0,72.0,73.0,95.0,89.0,90.0,,,OCCITANIE,76,65,Hautes-Pyrénées,3,13,,6,5,-3,,,,,15,,,,,5,,,,,,,,,,,,,,,,
14323,LYCEE THEOPHILE ROUSSEL (GENERAL ET TECHNO.),2012,ST CHELY D APCHER,0480688M,48140,MONTPELLIER,LOZERE,PU,,,39.0,17.0,,,,,,,,,56,,,95.0,100.0,,,,,,,,,96,,,96.0,92.0,,,,,,,,,95.0,,,96.0,93.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,76.0,93.0,72.0,92.0,75.0,92.0,80.0,68.0,,73.0,76.0,79.0,87.0,94.0,92.0,,,OCCITANIE,76,48,Lozère,1,-6,,,,-1,7,,,,,,,,,-5,,,,,,,,,,,,,,,,
14322,LYCEE SACRE-COEUR (GENERAL ET TECHNO.),2012,ST CHELY D APCHER,0480680D,48140,MONTPELLIER,LOZERE,PR,,,,,,,,,,,,23.0,23,,,,,,,,,,,,100.0,100,,,,,,,,,,,,88.0,88.0,,,,,,,,,,,,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,77.0,100.0,72.0,92.0,74.0,90.0,45.0,39.0,,70.0,56.0,65.0,76.0,81.0,81.0,,,OCCITANIE,76,48,Lozère,8,5,,,,,,,,,,,,,8,-5,,,,,,,,,,,,,,,,
14321,LYCEE EMILE PEYTAVIN,2012,MENDE,0480009Z,48095,MONTPELLIER,LOZERE,PU,,,15.0,8.0,,,,14.0,,29.0,,,66,,,87.0,100.0,,,,86.0,,66.0,,,79,,,95.0,93.0,,,,89.0,,74.0,,,84.0,,,93.0,90.0,,,,85.0,,90.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,64.0,83.0,72.0,92.0,75.0,92.0,61.0,69.0,,60.0,59.0,66.0,70.0,80.0,80.0,,,OCCITANIE,76,48,Lozère,-10,-6,,,,-6,10,,,,1,,-24,,,-10,,,,,,,,,,,,,,,,
14317,LYCEE JEANNE D'ARC (GENERAL ET TECHNO.),2012,FIGEAC,0460039T,46102,TOULOUSE,LOT,PR,1.0,19.0,23.0,,,,,,,27.0,,,70,100.0,84.0,96.0,,,,,,,89.0,,,90,81.0,78.0,91.0,,,,,,,84.0,,,85.0,86.0,81.0,92.0,,,,,,,91.0,,,89.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,72.0,94.0,73.0,94.0,75.0,92.0,75.0,85.0,,69.0,71.0,71.0,87.0,87.0,84.0,,,OCCITANIE,76,46,Lot,1,-2,,14,3,4,,,,,,,-2,,,3,,,,,,,,,,,,,,,,
14316,LYCEE SAINT-ETIENNE,2012,CAHORS,0460038S,46042,TOULOUSE,LOT,PR,4.0,11.0,19.0,18.0,,,,,,,,,52,100.0,82.0,100.0,100.0,,,,,,,,,96,85.0,87.0,91.0,83.0,,,,,,,,,87.0,88.0,85.0,91.0,85.0,,,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,63.0,94.0,73.0,94.0,75.0,92.0,97.0,63.0,,58.0,68.0,68.0,78.0,85.0,83.0,,,OCCITANIE,76,46,Lot,8,-10,,12,-3,9,15,,,,,,,,,-5,,,,,,,,,,,,,,,,
14315,LYCEE DES METIERS CHAMPOLLION,2012,FIGEAC,0460010L,46102,TOULOUSE,LOT,PU,15.0,19.0,66.0,47.0,,,,33.0,,,,,180,87.0,100.0,91.0,85.0,,,,85.0,,,,,89,92.0,90.0,95.0,89.0,,,,90.0,,,,,92.0,90.0,92.0,96.0,90.0,,,,88.0,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,78.0,92.0,73.0,94.0,75.0,92.0,180.0,186.0,,76.0,73.0,77.0,86.0,87.0,89.0,,,OCCITANIE,76,46,Lot,-3,-1,,-3,8,-5,-5,,,,-3,,,,,-3,,,,,,,,,,,,,,,,
14262,LYCEE RABELAIS,2012,MONTPELLIER,0341765J,34172,MONTPELLIER,HERAULT,PR,16.0,18.0,17.0,20.0,,,,,,,,,71,75.0,61.0,65.0,85.0,,,,,,,,,72,,77.0,47.0,84.0,,,,,,,,,,,87.0,69.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,50.0,63.0,72.0,92.0,75.0,92.0,29.0,56.0,,33.0,43.0,47.0,46.0,64.0,70.0,,,OCCITANIE,76,34,Hérault,ND,-14,,ND,-26,-4,-3,,,,,,,,,-24,,,,,,,,,,,,,,,,
14261,LYCEE ST JOSEPH PIERRE ROUGE,2012,MONTFERRIER SUR LEZ,0341521U,34169,MONTPELLIER,HERAULT,PR,18.0,25.0,52.0,,,,,27.0,,,,,122,83.0,88.0,85.0,,,,,96.0,,,,,88,79.0,83.0,84.0,,,,,98.0,,,,,86.0,82.0,87.0,84.0,,,,,91.0,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,67.0,93.0,72.0,92.0,72.0,92.0,118.0,101.0,,55.0,44.0,54.0,80.0,76.0,81.0,,,OCCITANIE,76,34,Hérault,2,1,,1,1,1,,,,,5,,,,,-1,,,,,,,,,,,,,,,,
