,label,annee_x,localite,departement_x,nom_etablissement,position,rne,latitude,longitude,taux_mentions_attendu_services,code_departement,taux_mentions_attendu_tous_secteurs,effectif_presents_services,code_etablissement,effectif_de_terminale,va_acc_terminale,va_men_serv_pers,taux_acces_attendu_france_terminale_bac,taux_reussite_attendu_france_total_secteurs,libelle_region_2016,taux_brut_de_reussite_services_aux_personnes,taux_brut_de_mentions_services_aux_personnes,structure_pedagogique_7_groupes,taux_reussite_attendu_france_production,effectif_de_seconde,va_reu_production,taux_brut_de_reussite_production,academie,taux_acces_brut_seconde_bac,va_reu_serv_pers,va_men_total,va_acc_premiere,taux_reussite_attendu_france_services,libelle_departement,taux_brut_de_reussite_services,taux_de_mentions_attendu_transformations,va_men_transfo,taux_brut_de_reussite_total_secteurs,effectifs_presents_services_aux_personnes,va_reu_transfo,effectifs_presents_transformations,taux_brut_de_reussite_transformations,taux_brut_de_mentions_production,va_reu_total,code_region_2016,va_men_services,taux_acces_attendu_france_seconde_bac,taux_acces_attendu_france_premiere_bac,effectif_de_premiere,effectif_presents_production,taux_mentions_attendu_production,taux_de_mentions_attendu_services_aux_personnes,etablissement,departement_y,effectif_presents_total_secteurs,va_acc_seconde,taux_acces_brut_premiere_bac,taux_acces_brut_terminale_bac,commune,va_reu_services,taux_de_reussite_attendu_france_transformations,taux_brut_de_mentions_total_secteurs,va_men_production,taux_brut_de_mentions_transformations,taux_brut_de_mentions_services,secteur_public_1_prive_2,taux_de_reussite_attendu_france_services_aux_personnes,ville,annee_y,va_men_meca_elec,effectifs_presents_echanges_et_gestion,taux_brut_de_reussite_mecanique_electricite_electronique,taux_de_reussite_attendu_france_genie_civil_construction_et_bois,taux_de_reussite_attendu_france_echanges_et_gestion,va_reu_genie_civil,taux_brut_de_reussite_echanges_et_gestion,va_men_echanges,taux_brut_de_mentions_echanges_et_gestion,va_reu_echanges,taux_brut_de_mentions_mecanique_electricite_electronique,effectifs_presents_mecanique_electricite_electronique,taux_brut_de_reussite_genie_civil_construction_et_bois,taux_de_mentions_attendu_mecanique_electricite_electronique,va_men_genie_civil,va_reu_meca_elec,taux_de_reussite_attendu_france_mecanique_electricite_electronique,taux_de_mentions_attendu_genie_civil_construction_et_bois,effectifs_presents_genie_civil_construction_et_bois,taux_brut_de_mentions_genie_civil_construction_et_bois,taux_de_mentions_attendu_echanges_et_gestion,taux_de_mentions_attendu_materiaux_souples,taux_brut_de_reussite_materiaux_souples,va_men_materiaux,taux_brut_de_mentions_materiaux_souples,taux_de_reussite_attendu_france_materiaux_souples,effectifs_presents_materiaux_souples,va_reu_materiaux,taux_de_mentions_attendu_specialites_plurivalentes_des_services,va_men_pluri_serv,va_reu_pluri_serv,taux_brut_de_reussite_specialites_plurivalentes_des_services,taux_brut_de_mentions_specialites_plurivalentes_des_services,effectifs_presents_specialites_plurivalentes_des_services,taux_de_reussite_attendu_france_specialites_plurivalentes_des_services,taux_de_mentions_attendu_specialites_pluri_technologiques,va_men_pluritech,va_reu_pluritech,taux_de_reussite_attendu_france_specialites_pluri_technologiques,taux_brut_de_reussite_specialites_pluri_technologiques,effectifs_presents_specialites_pluri_technologiques,taux_brut_de_mentions_specialites_pluri_technologiques,va_reu_communication,taux_de_reussite_attendu_france_communication_et_information,taux_brut_de_reussite_communication_et_information,taux_de_mentions_attendu_communication_et_information,va_men_communication,effectifs_presents_communication_et_information,taux_brut_de_mentions_communication_et_information,va_men_serv_collec,taux_brut_de_reussite_services_a_la_collectivite,taux_de_reussite_attendu_france_services_a_la_collectivite,taux_brut_de_mentions_services_a_la_collectivite,va_reu_serv_collec,taux_de_mentions_attendu_services_a_la_collectivite,effectifs_presents_services_a_la_collectivite,bachel_sort_terminales_france,taux_reussite_attendu_acad_services,bachel_sort_2de_1re_term_acad,taux_acces_attendu_acad_premiere_bac,bachel_sort_2de_1re_term_france,bachel_sort_terminales_etab,taux_reussite_attendu_acad_production,bachel_sort_terminales_acad,bachel_sort_2de_1re_term_etab,taux_acces_attendu_acad_seconde_bac,resultat_apres_label
3756,1,2021,Toulouse,031,Lycée polyvalent Bellevue,"[43.5590248285, 1.45974974113]",0310038Y,43.5590248285,1.45974974113,,31,,97.0,0310038Y,94.0,-7,,,,OCCITANIE,,,P,,87.0,,,TOULOUSE,48,,-7,-12,,Haute-Garonne,77,,,77,,,,,,-10,76,-7,,,92.0,,,,LYCEE BELLEVUE (PROFESSIONNEL),HAUTE GARONNE,97,-21,67,80,31555,-10,,45,,,45,PU,,TOULOUSE,2021,,68.0,,,,,84,-6,51,-6,,,,,,,,,,,,,,,,,,,,-10,-18,62,31,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1972,1,2018,Béziers,034,Lycée polyvalent Jean Moulin,"[43.341574183, 3.23496053762]",0340011C,43.341574183,3.23496053762,,34,,156.0,0340011C,207.0,-4,,83,81.0,OCCITANIE,83,,,81,226.0,3,84,MONTPELLIER,59,-6,,-4,81,Hérault,74,,,78,75.0,4,22.0,91,,-3,76,,62,74,216.0,125.0,,,LYCEE JEAN MOULIN (PROFESSIONNEL),HERAULT,281,-3,70,79,34032,-7,87,,,,,PU,89,BEZIERS,2015,,,81,,,,,,,,,68.0,,,,2,79,,,,,,86,,,83,22.0,3,,,-9,65,,81.0,74,,,11,74,85,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,False
1973,1,2018,Béziers,034,Lycée polyvalent Jean Moulin,"[43.341574183, 3.23496053762]",0340011C,43.341574183,3.23496053762,,34,,71.0,0340011C,197.0,-9,,85,83.0,OCCITANIE,79,,,81,219.0,-8,73,MONTPELLIER,57,-9,,-11,88,Hérault,79,,,75,71.0,-14,18.0,72,,-8,76,,61,75,214.0,123.0,,,LYCEE JEAN MOULIN (PROFESSIONNEL),HERAULT,194,-4,64,76,34032,-9,86,,,,,PU,88,BEZIERS,2016,,,76,,,,,,,,,67.0,,,,-3,79,,,,,,48,,,84,23.0,-36,,,,,,,,,,25,75,100,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,False
1974,1,2018,Béziers,034,Lycée polyvalent Jean Moulin,"[43.341574183, 3.23496053762]",0340011C,43.341574183,3.23496053762,47,34,43,68.0,0340011C,202.0,-4,-10,85,84.0,OCCITANIE,82,37,,82,217.0,-10,72,MONTPELLIER,66,-7,-11,-1,89,Hérault,82,38,3,76,68.0,-4,22.0,82,29,-8,76,-10,65,75,220.0,127.0,40,47,LYCEE JEAN MOULIN (PROFESSIONNEL),HERAULT,195,1,74,81,34032,-7,86,32,-11,41,37,PU,89,BEZIERS,2017,-8,,67,,,,,,,,30,70.0,,38,,-12,79,,,,,52,81,-33,19,87,26.0,-6,,,,,,,,34,-12,-9,76,67,9.0,22,,,,,,,,,,,,,,,,,,,,,,,,,False
1975,1,2018,Béziers,034,Lycée polyvalent Jean Moulin,"[43.341574183, 3.23496053762]",0340011C,43.341574183,3.23496053762,42,34,36,75.0,0340011C,207.0,-1,-2,80,80.0,OCCITANIE,87,40,H,76,217.0,-3,73,MONTPELLIER,57,1,3,0,86,Hérault,87,28,-8,78,75.0,-25,15.0,53,39,-2,76,-2,61,72,220.0,123.0,33,42,LYCEE JEAN MOULIN (PROFESSIONNEL),HERAULT,198,-4,72,79,34032,1,78,39,6,20,40,PU,86,BEZIERS,2018,9,,79,,,,,,,,41,71.0,,32,,4,75,,,,,41,71,21,62,80,21.0,-9,,,,,,,,33,-14,-3,72,69,16.0,19,,,,,,,,,,,,,,,,,,,,,,,,,True
1976,1,2018,Béziers,034,Lycée polyvalent Jean Moulin,"[43.341574183, 3.23496053762]",0340011C,43.341574183,3.23496053762,46,34,44,78.0,0340011C,208.0,-4,-1,85,84.0,OCCITANIE,76,45,G,81,225.0,-2,79,MONTPELLIER,59,-12,-3,-5,88,Hérault,76,50,8,78,78.0,2,24.0,92,39,-6,76,-1,64,76,215.0,127.0,43,46,LYCEE JEAN MOULIN (PROFESSIONNEL),HERAULT,205,-5,71,81,34032,-12,90,41,-4,58,45,PU,88,BEZIERS,2019,-3,,72,,,,,,,,37,68.0,,40,,-6,78,,,,,52,85,-12,40,82,20.0,3,,,,,,,,35,-22,2,78,80,15.0,13,,,,,,,,,,,,,,,,,,,,,,,,,True
1977,1,2018,Béziers,034,Lycée polyvalent Jean Moulin,"[43.341574183, 3.23496053762]",0340011C,43.341574183,3.23496053762,,34,,73.0,0340011C,196.0,0,12,,,OCCITANIE,96,78,G,,221.0,0,89,MONTPELLIER,76,2,8,0,,Hérault,96,,9,92,73.0,-10,21.0,86,64,1,76,12,,,222.0,130.0,,,LYCEE JEAN MOULIN (PROFESSIONNEL),HERAULT,203,2,83,90,34032,2,,69,7,76,78,PU,,BEZIERS,2020,11,,90,,,,,,,,65,71.0,,,,3,,,,,,,92,-5,60,,25.0,0,,,,,,,,,1,1,,85,13.0,46,,,,,,,,,,,,,,,,,,,,,,,,,True
1978,1,2018,Béziers,034,Lycée polyvalent Jean Moulin,"[43.341574183, 3.23496053762]",0340011C,43.341574183,3.23496053762,,34,,70.0,0340011C,191.0,-1,-2,,,OCCITANIE,89,57,P,,224.0,-1,83,MONTPELLIER,62,-1,0,-6,,Hérault,89,,-1,85,70.0,-4,20.0,85,51,-1,76,-2,,,214.0,115.0,,,LYCEE JEAN MOULIN (PROFESSIONNEL),HERAULT,185,-6,71,84,34032,-1,,54,0,55,57,PU,,BEZIERS,2021,+3,,90,,,,,,,,52,67.0,,,,+8,,,,,,,67,-6,50,,18.0,-18,,,,,,,,,+3,-14,,70,10.0,40,,,,,,,,,,,,,,,,,,,,,,,,,True
3149,1,2018,Saverdun,009,Lycée professionnel Dr Philippe Tissie,"[43.2339129826, 1.57967041613]",0090024C,43.2339129826,1.57967041613,,09,47,,0090024C,56.0,-4,,88,84.0,OCCITANIE,,,G,84,69.0,-4,80,TOULOUSE,64,,0,-1,,Ariège,,,,80,,,,,47,-4,76,,64,77,54.0,59.0,47,,LYCEE PROFESSIONNEL DR PHILIPPE TISSIE,ARIEGE,59,0,76,84,9282,,,47,0,,,PU,,SAVERDUN,2019,0,,80,,,,,,,,47,59.0,,47,,-4,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
3148,1,2018,Saverdun,009,Lycée professionnel Dr Philippe Tissie,"[43.2339129826, 1.57967041613]",0090024C,43.2339129826,1.57967041613,,09,39,,0090024C,61.0,-4,,84,82.0,OCCITANIE,,,H,82,59.0,-3,79,TOULOUSE,63,,-1,2,,Ariège,,,,79,,,,,38,-3,76,,63,77,61.0,72.0,39,,LYCEE PROFESSIONNEL DR PHILIPPE TISSIE,ARIEGE,72,0,79,80,9282,,,38,-1,,,PU,,SAVERDUN,2018,-1,,79,,,,,,,,38,72.0,,39,,-3,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
