,label,annee_x,localite,departement_x,nom_etablissement,position,rne,latitude,longitude,Etablissement,annee_y,Ville,UAI,Code commune,Academie,departement_y,Secteur,Presents - L,Presents - ES,Presents - S,Presents - STG,Presents - STI2D,Presents - STD2A,Presents - STMG,Presents - STI,Presents - STL,Presents - ST2S,Presents - TMD,Presents - STHR,Presents - Toutes series,Taux de reussite - L,Taux de reussite - ES,Taux de reussite - S,Taux de reussite - STG,Taux de reussite - STI2D,Taux de reussite - STD2A,Taux de reussite - STMG,Taux de reussite - STI,Taux de reussite - STL,Taux de reussite - ST2S,Taux de reussite - TMD,Taux de reussite - STHR,taux_reussite_toutes_series,Taux de reussite attendu acad - L,Taux de reussite attendu acad - ES,Taux de reussite attendu acad - S,Taux de reussite attendu acad - STG,Taux de reussite attendu acad - STI2D,Taux de reussite attendu acad - STD2A,Taux de reussite attendu acad - STMG,Taux de reussite attendu acad - STI,Taux de reussite attendu acad - STL,Taux de reussite attendu acad - ST2S,Taux de reussite attendu acad - TMD,Taux de reussite attendu acad - STHR,Taux de reussite attendu acad - Toutes series,Taux de reussite attendu france - L,Taux de reussite attendu france - ES,Taux de reussite attendu france - S,Taux de reussite attendu france - STG,Taux de reussite attendu france - STI2D,Taux de reussite attendu france - STD2A,Taux de reussite attendu france - STMG,Taux de reussite attendu france - STI,Taux de reussite attendu france - STL,Taux de reussite attendu france - ST2S,Taux de reussite attendu france - TMD,Taux de reussite attendu france - STHR,taux_reussite_attendu_toutes_series,Taux de mentions - L,Taux de mentions - ES,Taux de mentions - S,Taux de mentions - STI2D,Taux de mentions - STD2A,Taux de mentions - STMG,Taux de mentions - STL,Taux de mentions - ST2S,Taux de mentions - TMD,Taux de mentions - STHR,Taux de mentions - Toutes series,Taux de mentions attendu - L,Taux de mentions attendu - ES,Taux de mentions attendu - S,Taux de mentions attendu - STI2D,Taux de mentions attendu - STD2A,Taux de mentions attendu - STMG,Taux de mentions attendu - STL,Taux de mentions attendu - ST2S,Taux de mentions attendu - TMD,Taux de mentions attendu - STHR,Taux de mentions attendu - Toutes series,Structure pedagogique 5 groupes,Structure pedagogique 7 groupes,Pourcentage bacheliers sortants 2de 1re Terminale Etablissement,Pourcentage bacheliers sortants Terminales Etablissement,Pourcentage bacheliers sortants 2de 1re Terminale Acad,Pourcentage bacheliers sortants Terminale Acad,Pourcentage bacheliers sortants 2de 1re Terminale France,Pourcentage bacheliers sortants Terminale France,Effectif de seconde,Effectif de premiere,Effectif de terminale,Taux d'acces 2nde-bac,Taux d'acces attendu acad 2nde-bac,Taux d'acces attendu france 2nde-bac,Taux d'acces 1ere-bac,Taux d'acces attendu acad 1ere-bac,Taux d'acces attendu france 1ere-bac,Taux d'acces terminale-bac,Taux d'acces attendu france terminale-bac,Region,Code region,code_departement,Libelle departement,va_taux_reussite_toutes_series,Valeur ajoutee du taux d'acces 2nde-bac,Valeur ajoutee du taux de mentions - Toutes series,Valeur ajoutee du taux de reussite - L,Valeur ajoutee du taux de reussite - ES,Valeur ajoutee du taux de reussite - S,Valeur ajoutee du taux de reussite - STG,Valeur ajoutee du taux de reussite - STI2D,Valeur ajoutee du taux de reussite - STD2A,Valeur ajoutee du taux de reussite - STMG,Valeur ajoutee du taux de reussite - STI,Valeur ajoutee du taux de reussite - STL,Valeur ajoutee du taux de reussite - ST2S,Valeur ajoutee du taux de reussite - TMD,Valeur ajoutee du taux de reussite - STHR,Valeur ajoutee du taux d'acces 1ere-bac,Valeur ajoutee du taux d'acces terminale-bac,Valeur ajoutee du taux de mentions - L,Valeur ajoutee du taux de mentions - ES,Valeur ajoutee du taux de mentions - S,Valeur ajoutee du taux de mentions - STI2D,Valeur ajoutee du taux de mentions - STD2A,Valeur ajoutee du taux de mentions - STMG,Valeur ajoutee du taux de mentions - STL,Valeur ajoutee du taux de mentions - ST2S,Valeur ajoutee du taux de mentions - TMD,Valeur ajoutee du taux de mentions - STHR,Presents - Gnle,Taux de reussite - Gnle,Valeur ajoutee du taux de réussite - Gnle,Taux de mentions - Gnle,Valeur ajoutée du taux de mentions - Gnle,label_true,resultat_apres_label
0,0.0,2017.0,Toulouse,031,Lycée polyvalent Déodat de Séverac,"[43.5891404207, 1.42645980489]",0310044E,43.5891404207,1.42645980489,LYCEE DEODAT DE SEVERAC,2012,TOULOUSE,0310044E,31555,TOULOUSE,HAUTE GARONNE,PU,,,86.0,,,,,153.0,75.0,,,,314,,,91.0,,,,,90.0,92.0,,,,91,,,93.0,,,,,92.0,91.0,,,,92.0,,,94,,,,,89.0,93,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,72.0,94.0,73.0,94.0,72.0,92.0,205.0,327.0,,56,60.0,57,85.0,86.0,82,,,OCCITANIE,76,31,Haute-Garonne,0,-1,,,,-3,,,,,1,-1,,,,3,,,,,,,,,,,,,,,,,True,False
1,0.0,2018.0,Toulouse,031,Lycée polyvalent Déodat de Séverac,"[43.5891404207, 1.42645980489]",0310044E,43.5891404207,1.42645980489,LYCEE DEODAT DE SEVERAC,2012,TOULOUSE,0310044E,31555,TOULOUSE,HAUTE GARONNE,PU,,,86.0,,,,,153.0,75.0,,,,314,,,91.0,,,,,90.0,92.0,,,,91,,,93.0,,,,,92.0,91.0,,,,92.0,,,94,,,,,89.0,93,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,72.0,94.0,73.0,94.0,72.0,92.0,205.0,327.0,,56,60.0,57,85.0,86.0,82,,,OCCITANIE,76,31,Haute-Garonne,0,-1,,,,-3,,,,,1,-1,,,,3,,,,,,,,,,,,,,,,,True,False
2,0.0,2019.0,Toulouse,031,Lycée polyvalent Déodat de Séverac,"[43.5891404207, 1.42645980489]",0310044E,43.5891404207,1.42645980489,LYCEE DEODAT DE SEVERAC,2012,TOULOUSE,0310044E,31555,TOULOUSE,HAUTE GARONNE,PU,,,86.0,,,,,153.0,75.0,,,,314,,,91.0,,,,,90.0,92.0,,,,91,,,93.0,,,,,92.0,91.0,,,,92.0,,,94,,,,,89.0,93,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,72.0,94.0,73.0,94.0,72.0,92.0,205.0,327.0,,56,60.0,57,85.0,86.0,82,,,OCCITANIE,76,31,Haute-Garonne,0,-1,,,,-3,,,,,1,-1,,,,3,,,,,,,,,,,,,,,,,True,False
3,0.0,2021.0,Toulouse,031,Lycée polyvalent Déodat de Séverac,"[43.5891404207, 1.42645980489]",0310044E,43.5891404207,1.42645980489,LYCEE DEODAT DE SEVERAC,2012,TOULOUSE,0310044E,31555,TOULOUSE,HAUTE GARONNE,PU,,,86.0,,,,,153.0,75.0,,,,314,,,91.0,,,,,90.0,92.0,,,,91,,,93.0,,,,,92.0,91.0,,,,92.0,,,94,,,,,89.0,93,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,72.0,94.0,73.0,94.0,72.0,92.0,205.0,327.0,,56,60.0,57,85.0,86.0,82,,,OCCITANIE,76,31,Haute-Garonne,0,-1,,,,-3,,,,,1,-1,,,,3,,,,,,,,,,,,,,,,,True,False
4,0.0,2017.0,Bagnères-de-Bigorre,065,Lycée polyvalent des Métiers Victor Duruy,"[43.0630529023, 0.153259933438]",0650005C,43.0630529023,0.153259933438,LYCEE VICTOR DURUY (GENERAL ET TECHNO.),2012,BAGNERES DE BIGORRE CEDE,0650005C,65059,TOULOUSE,HAUTES PYRENEES,PU,10.0,34.0,39.0,,,,,13.0,,,,,96,100.0,100.0,92.0,,,,,100.0,,,,,97,95.0,94.0,94.0,,,,,87.0,,,,,93.0,94.0,95.0,95.0,,,,,85.0,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,87.0,99.0,73.0,94.0,72.0,92.0,118.0,121.0,,86.0,72.0,73.0,95.0,89.0,90.0,,,OCCITANIE,76,65,Hautes-Pyrénées,3,13,,6,5,-3,,,,,15,,,,,5,,,,,,,,,,,,,,,,,True,False
5,0.0,2018.0,Bagnères-de-Bigorre,065,Lycée polyvalent des Métiers Victor Duruy,"[43.0630529023, 0.153259933438]",0650005C,43.0630529023,0.153259933438,LYCEE VICTOR DURUY (GENERAL ET TECHNO.),2012,BAGNERES DE BIGORRE CEDE,0650005C,65059,TOULOUSE,HAUTES PYRENEES,PU,10.0,34.0,39.0,,,,,13.0,,,,,96,100.0,100.0,92.0,,,,,100.0,,,,,97,95.0,94.0,94.0,,,,,87.0,,,,,93.0,94.0,95.0,95.0,,,,,85.0,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,87.0,99.0,73.0,94.0,72.0,92.0,118.0,121.0,,86.0,72.0,73.0,95.0,89.0,90.0,,,OCCITANIE,76,65,Hautes-Pyrénées,3,13,,6,5,-3,,,,,15,,,,,5,,,,,,,,,,,,,,,,,True,False
6,0.0,2019.0,Bagnères-de-Bigorre,065,Lycée polyvalent des Métiers Victor Duruy,"[43.0630529023, 0.153259933438]",0650005C,43.0630529023,0.153259933438,LYCEE VICTOR DURUY (GENERAL ET TECHNO.),2012,BAGNERES DE BIGORRE CEDE,0650005C,65059,TOULOUSE,HAUTES PYRENEES,PU,10.0,34.0,39.0,,,,,13.0,,,,,96,100.0,100.0,92.0,,,,,100.0,,,,,97,95.0,94.0,94.0,,,,,87.0,,,,,93.0,94.0,95.0,95.0,,,,,85.0,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,87.0,99.0,73.0,94.0,72.0,92.0,118.0,121.0,,86.0,72.0,73.0,95.0,89.0,90.0,,,OCCITANIE,76,65,Hautes-Pyrénées,3,13,,6,5,-3,,,,,15,,,,,5,,,,,,,,,,,,,,,,,True,False
7,0.0,2021.0,Bagnères-de-Bigorre,065,Lycée polyvalent des Métiers Victor Duruy,"[43.0630529023, 0.153259933438]",0650005C,43.0630529023,0.153259933438,LYCEE VICTOR DURUY (GENERAL ET TECHNO.),2012,BAGNERES DE BIGORRE CEDE,0650005C,65059,TOULOUSE,HAUTES PYRENEES,PU,10.0,34.0,39.0,,,,,13.0,,,,,96,100.0,100.0,92.0,,,,,100.0,,,,,97,95.0,94.0,94.0,,,,,87.0,,,,,93.0,94.0,95.0,95.0,,,,,85.0,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,87.0,99.0,73.0,94.0,72.0,92.0,118.0,121.0,,86.0,72.0,73.0,95.0,89.0,90.0,,,OCCITANIE,76,65,Hautes-Pyrénées,3,13,,6,5,-3,,,,,15,,,,,5,,,,,,,,,,,,,,,,,True,False
8,0.0,2017.0,Saint-Chély-d'Apcher,048,Lycée polyvalent des Métiers Théophile Roussel,"[44.8037071463, 3.27366945533]",0480688M,44.8037071463,3.27366945533,LYCEE THEOPHILE ROUSSEL (GENERAL ET TECHNO.),2012,ST CHELY D APCHER,0480688M,48140,MONTPELLIER,LOZERE,PU,,,39.0,17.0,,,,,,,,,56,,,95.0,100.0,,,,,,,,,96,,,96.0,92.0,,,,,,,,,95.0,,,96.0,93.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,76.0,93.0,72.0,92.0,75.0,92.0,80.0,68.0,,73.0,76.0,79.0,87.0,94.0,92.0,,,OCCITANIE,76,48,Lozère,1,-6,,,,-1,7,,,,,,,,,-5,,,,,,,,,,,,,,,,,True,False
9,0.0,2018.0,Saint-Chély-d'Apcher,048,Lycée polyvalent des Métiers Théophile Roussel,"[44.8037071463, 3.27366945533]",0480688M,44.8037071463,3.27366945533,LYCEE THEOPHILE ROUSSEL (GENERAL ET TECHNO.),2012,ST CHELY D APCHER,0480688M,48140,MONTPELLIER,LOZERE,PU,,,39.0,17.0,,,,,,,,,56,,,95.0,100.0,,,,,,,,,96,,,96.0,92.0,,,,,,,,,95.0,,,96.0,93.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,76.0,93.0,72.0,92.0,75.0,92.0,80.0,68.0,,73.0,76.0,79.0,87.0,94.0,92.0,,,OCCITANIE,76,48,Lozère,1,-6,,,,-1,7,,,,,,,,,-5,,,,,,,,,,,,,,,,,True,False
