,Année,RNE,Nom établissement,Localité,Département,Label,Position
5,2017,0301284H,Collège Jean Rostand,Nîmes,30,3,"43.8453349382, 4.3436104753"
181,2017,0110025T,Collège Cité,Narbonne,11,2,"43.1871871048, 3.00827041122"
182,2017,0110667R,Collège Pierre et Marie Curie,Rieux-Minervois,11,2,"43.2816347265, 2.58131002347"
185,2017,0300013B,Collège Le Castellas,Bessèges,30,2,"44.2934511404, 4.09540034382"
186,2017,0300032X,Collège de Coutach,Quissac,30,2,"43.9134526084, 3.99461994587"
193,2017,0301721H,Collège Jean Louis Trintignant,Uzès,30,2,"44.028519592, 4.41477035441"
194,2017,0340024S,Collège Voltaire,Florensac,34,2,"43.386879459, 3.46471973603"
599,2017,0301746K,Collège Via Domitia,Manduel,30,1,"43.8180264011, 4.48825017339"
606,2017,0340974Z,Collège Emmanuel Maffre Baugé,Paulhan,34,1,"43.5407317335, 3.45764059763"
600,2017,0301747L,Collège,Lédignan,30,1,"43.9840086522, 4.10706037412"
602,2017,0340065L,Collège Jean Jaurès,Saint-Chinian,34,1,"43.4232909976, 2.9514600811"
597,2017,0301282F,Collège Elsa Triolet,Beaucaire,30,1,"43.8104670616, 4.62201018325"
417,2017,0660523K,Collège Paul Langevin,Elne,66,1,"42.6133158471, 2.9781896986"
595,2017,0301014P,Collège Denis Diderot,Alès,30,2,"44.1328062981, 4.07873052994"
798,2017,0300947S,Collège Alphonse Daudet,Alès,30,1,"44.1352924236, 4.08584945806"
7,2017,0340053Y,Collège Croix d'Argent,Montpellier,34,3,"43.5901236713, 3.86672053586"
591,2017,0300016E,Collège de la Regordane,Génolhac,30,2,"44.3495919152, 3.94858022887"
601,2017,0301827Y,Collège Federico Garcia Lorca,Bellegarde,30,1,"43.7507318849, 4.49710961267"
415,2017,0480006W,Collège Sport Nature,La Canourgue,48,1,"44.4304664308, 3.21929027799"
588,2017,0110068P,Collège Georges Brassens,Narbonne,11,3,"43.1861949153, 2.97425005916"
199,2017,0340955D,Collège Simone Veil,Montpellier,34,2,"43.6180403594, 3.84792979907"
14,2017,0341870Y,Collège Marie Curie,Pignan,34,2,"43.5795881698, 3.76382057356"
13,2017,0341825Z,Collège Ambrussum,Lunel,34,2,"43.6876054742, 4.13410022864"
589,2017,0110672W,Collège Jules Verne,Carcassonne,11,1,"43.2174450571, 2.35158998458"
11,2017,0341424N,Collège Louise Michel,Ganges,34,2,"43.9366236246, 3.7052504937"
607,2017,0341364Y,Collège Gérard Philipe,Montpellier,34,3,"43.5973433958, 3.88440958533"
8,2017,0340996Y,Collège les Escholiers de la Mosson,Montpellier,34,2,"43.6337390636, 3.82164956652"
3,2017,0300031W,Collège George Ville,Pont-Saint-Esprit,30,2,"44.2562769196, 4.64588054318"
2,2017,0111051H,Collège Rosa Parks,Lézignan-Corbières,11,2,"43.184518864, 2.7595799942"
590,2017,0110725D,Collège la Nadière,Port-la-Nouvelle,11,3,"43.0152938287, 3.0473402655"
200,2017,0341065Y,Collège Jean Moulin,Sète,34,2,"43.4153654872, 3.67108004392"
215,2017,0660864F,Collège François Mitterrand,Toulouges,66,2,"42.6654908741, 2.8406905042"
213,2017,0660522J,Collège Marcel Pagnol,Perpignan,66,2,"42.7121514378, 2.88187030741"
593,2017,0300037C,Collège Jean Vilar,Saint-Gilles,30,1,"43.6857190477, 4.43333951677"
210,2017,0660019M,Collège Saint Exupéry,Perpignan,66,2,"42.6809404657, 2.90278705816"
209,2017,0660018L,Collège Madame de Sévigné,Perpignan,66,2,"42.6842308397, 2.88608980902"
208,2017,0660016J,Collège la Garrigole,Perpignan,66,2,"42.6948472397, 2.86727657243"
207,2017,0480017H,Collège Odilon Barrot,Villefort,48,2,"44.4409467285, 3.92705994902"
592,2017,0300033Y,Collège Voltaire,Remoulins,30,2,"43.9391477432, 4.57085010929"
594,2017,0300946R,Collège Révolution,Nîmes,30,2,"43.8411277221, 4.35535964864"
596,2017,0301232B,Collège Gaston Doumergue,Sommières,30,2,"43.7847374416, 4.08325039108"
598,2017,0301327E,Collège Gérard Philipe,Bagnols-sur-Cèze,30,2,"44.1618283977, 4.61622996246"
15,2017,0342052W,Collège Simone de Beauvoir,Frontignan,34,1,"43.4295170364, 3.73652058744"
810,2017,0660521H,Collège Pablo Casals,Cabestany,66,2,"42.6764094572, 2.94332002109"
12,2017,0341577E,Collège Le Bérange,Baillargues,34,1,"43.6670767331, 4.02226955004"
808,2017,0660431K,Collège Le Riberal,Saint-Estève,66,2,"42.7086982816, 2.83931047208"
806,2017,0480015F,Collège Achille Rousson,Saint-Étienne-Vallée-Française,48,2,"44.1664542311, 3.84200964175"
0,2017,0110686L,Collège Joseph Anglade,Lézignan-Corbières,11,2,"43.196809464, 2.76527043622"
6,2017,0340021N,Collège Jules Ferry,Cazouls-lès-Béziers,34,1,"43.3898154424, 3.1016801846"
809,2017,0660480N,Collège Jean Moulin,Arles-sur-Tech,66,1,"42.4571318685, 2.63197039146"
1,2017,0110870L,Collège Antoine Pons,Chalabre,11,1,"42.9851089045, 2.00497993951"
9,2017,0341363X,Collège de la Voie Domitienne,Le Crès,34,1,"43.6479920098, 3.93101951031"
20,2017,0660029Y,Collège Joseph Calvet,Saint-Paul-de-Fenouillet,66,1,"42.8087998589, 2.50565044347"
807,2017,0660049V,Collège Jean Moulin,Perpignan,66,1,"42.6969467289, 2.899559487"
