RNE,Année,Nom établissement,Localité,Département_dflabels,Label,Position,Rentrée scolaire,Académie,Code du département,Département_dfIPS,Nom de l'établissment,Code INSEE de la commune,Nom de la commune,Secteur,IPS
0300945P,2021,Collège Feuchères,Nîmes,30,1,"43.8346647285, 4.36436997917",2021-2022,MONTPELLIER,030,GARD,COLLEGE FEUCHERES,30189,NIMES,public,87.5
0342050U,2021,Collège Françoise Giroud,Vendres,34,1,"43.2702388366, 3.23120964337",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE FRANCOISE GIROUD,34329,VENDRES,public,102.1
0342130F,2021,Collège Pierre Deley,Marseillan,34,1,"43.3636032312, 3.52046025283",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE PIERRE DELEY,34150,MARSEILLAN,public,91.4
0660007Z,2021,Collège Irène Joliot Curie,Estagel,66,1,"42.7703572832, 2.69483024839",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE IRENE JOLIOT CURIE,66071,ESTAGEL,public,100.2
0110859Z,2021,Collège Joseph Delteil,Limoux,11,1,"43.0641830596, 2.21530968734",2021-2022,MONTPELLIER,011,AUDE,COLLEGE JOSEPH DELTEIL,11206,LIMOUX,public,98.3
0340032A,2021,Collège les Arbourys,Magalas,34,1,"43.4705426287, 3.22338016058",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE LES ARBOURYS,34147,MAGALAS,public,106.4
0660653B,2021,Collège Jules Verne,Le Soler,66,1,"42.6788324315, 2.78077044178",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JULES VERNE,66195,LE SOLER,public,100.8
0300020J,2021,Collège Antoine Deparcieux,Le Martinet,30,1,"44.252830676, 4.08464044227",2021-2022,MONTPELLIER,030,GARD,COLLEGE ANTOINE DEPARCIEUX,30159,LE MARTINET,public,86.2
0660017K,2021,Collège Jean Macé,Perpignan,66,1,"42.6952140275, 2.8876601781",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE JEAN MACE,66136,PERPIGNAN,public,79.4
0660019M,2021,Collège Saint Exupéry,Perpignan,66,1,"42.6809404657, 2.90278705816",2021-2022,MONTPELLIER,066,PYRENEES-ORIENTALES,COLLEGE SAINT EXUPERY,66136,PERPIGNAN,public,76.5
0341065Y,2021,Collège Jean Moulin,Sète,34,1,"43.4153654872, 3.67108004392",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE JEAN MOULIN,34301,SETE,public,74.7
0341825Z,2021,Collège Ambrussum,Lunel,34,1,"43.6876054742, 4.13410022864",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE AMBRUSSUM,34145,LUNEL,public,107.6
0342052W,2021,Collège Simone de Beauvoir,Frontignan,34,1,"43.4295170364, 3.73652058744",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE SIMONE DE BEAUVOIR,34108,FRONTIGNAN,public,108.0
0110675Z,2021,Collège Michel Bousquié,Quillan,11,1,"42.876164008, 2.17579041988",2021-2022,MONTPELLIER,011,AUDE,COLLEGE MICHEL BOUSQUIE,11304,QUILLAN,public,83.0
0300006U,2021,Collège Florian,Anduze,30,1,"44.053275465, 3.98381045633",2021-2022,MONTPELLIER,030,GARD,COLLEGE FLORIAN,30010,ANDUZE,public,104.8
0341368C,2021,Collège de l'Étang de l'Or,Mauguio,34,1,"43.6126507357, 4.00806047562",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE DE L ETANG DE L OR,34154,MAUGUIO,public,120.0
0340025T,2021,Collège les Deux Pins,Frontignan,34,1,"43.4538921201, 3.75115012585",2021-2022,MONTPELLIER,034,HERAULT,COLLEGE LES DEUX PINS,34108,FRONTIGNAN,public,95.2
0301656M,2021,Collège Claudie Haigneré,Rochefort-du-Gard,30,1,"43.9738250696, 4.677720001",2021-2022,MONTPELLIER,030,GARD,COLLEGE CLAUDIE HAIGNERE,30217,ROCHEFORT DU GARD,public,116.2
0301213F,2021,Collège Paul Valéry,Roquemaure,30,1,"44.0480398242, 4.78033053981",2021-2022,MONTPELLIER,030,GARD,COLLEGE PAUL VALERY,30221,ROQUEMAURE,public,106.2
